Code,Year,CO2 emissions per capita,Daily calorie supply per person,GDP per capita,"Measles, first dose (MCV1)",Polio (Pol3),Tetanus (DTP3),Life expectancy,Military expenditure (% of GDP),Political regime,"Population, total",Share of the population using the Internet,Share of the population using at least basic sanitation,Share of the labor force employed in agriculture,Share of the population with access to electricity
AFG,2005,0.077424295,1984.4324,964.4081,50.0,58.0,58.0,58.2468,1.9920657,1,24404575.0,1.22415,28.032917,62.15,28.7
AFG,2006,0.08493193,1981.9991,1057.0966,53.0,58.0,58.0,58.5533,1.896234,1,25424100.0,2.10712,29.473711,61.28,33.5
AFG,2007,0.10806349,2080.6777,1259.9967,55.0,63.0,63.0,58.9563,2.5662673,1,25909852.0,1.9,30.875317,60.14,38.4
AFG,2008,0.16065209,2083.3396,1319.6074,59.0,64.0,64.0,59.7081,2.3355458,1,26482631.0,1.84,32.27372,59.29,42.4
AFG,2009,0.23258604,2099.3276,1557.3207,60.0,63.0,63.0,60.2478,2.0874126,1,27466102.0,3.55,33.66911,56.89,48.3
AFG,2010,0.2957424,2200.2102,1627.6716,62.0,66.0,66.0,60.7018,1.9458357,1,28284088.0,4.0,35.06167,54.58,42.7
AFG,2011,0.38877392,2171.8604,1792.0,64.0,68.0,68.0,61.2503,1.8213454,1,29347708.0,5.0,36.451744,53.56,43.2
AFG,2012,0.31842902,2165.8794,1945.0,59.0,67.0,67.0,61.7349,1.1754161,1,30560036.0,5.45455,37.839386,51.4,69.1
AFG,2013,0.28117284,2205.3293,2025.0,57.0,64.0,64.0,62.1878,1.0769497,1,31622709.0,5.9,39.224785,49.82,68.0
AFG,2014,0.26523322,2270.4495,2022.0,60.0,63.0,62.0,62.2599,1.2980129,1,32792528.0,7.0,40.608135,48.41,89.5
AFG,2015,0.27738428,2251.2698,1928.0,62.0,65.0,64.0,62.2695,0.99457586,1,33831767.0,8.26,41.98982,47.07,71.5
AFG,2016,0.24800518,2240.7097,1931.2438,64.0,66.0,66.0,62.6459,0.95677215,1,34700613.0,11.0,43.369865,45.81,97.7
AFG,2017,0.26089466,2307.2092,1909.733,64.0,64.0,64.0,62.4062,0.9452267,1,35688941.0,13.5,44.750813,43.99,97.7
AFG,2018,0.27737236,2261.79,1888.814,66.0,67.0,68.0,62.4434,1.0067458,1,36743040.0,16.8,46.133545,43.13,93.4
