Code,Year,CO2 emissions per capita
AFG,1949,0.001992146
AFG,1950,0.010837197
AFG,1951,0.011625335
AFG,1952,0.011467511
AFG,1953,0.013123366
AFG,1954,0.012945492
AFG,1955,0.018480647
AFG,1956,0.021669438
AFG,1957,0.034129996
AFG,1958,0.037801724
AFG,1959,0.04335994
AFG,1960,0.045808833
AFG,1961,0.05326608
AFG,1962,0.07322033
AFG,1963,0.07358391
AFG,1964,0.085441604
AFG,1965,0.10033048
AFG,1966,0.106284514
AFG,1967,0.122013114
AFG,1968,0.11373056
AFG,1969,0.08543128
AFG,1970,0.14795192
AFG,1971,0.1636936
AFG,1972,0.12910292
AFG,1973,0.1345167
AFG,1974,0.15343112
AFG,1975,0.16607082
AFG,1976,0.15167534
AFG,1977,0.1787136
AFG,1978,0.15819776
AFG,1979,0.16350494
AFG,1980,0.13336322
AFG,1981,0.16573393
AFG,1982,0.19056578
AFG,1983,0.2308076
AFG,1984,0.25214335
AFG,1985,0.30642045
AFG,1986,0.27439797
AFG,1987,0.27343473
AFG,1988,0.24792345
AFG,1989,0.23284777
AFG,1990,0.16805434
AFG,1991,0.15641147
AFG,1992,0.111609
AFG,1993,0.0995065
AFG,1994,0.089462
AFG,1995,0.08305054
AFG,1996,0.07713131
AFG,1997,0.0706777
AFG,1998,0.06672778
AFG,1999,0.054889955
AFG,2000,0.052017417
AFG,2001,0.05270568
AFG,2002,0.062730715
AFG,2003,0.068608426
AFG,2004,0.052513268
AFG,2005,0.077424295
AFG,2006,0.08493193
AFG,2007,0.10806349
AFG,2008,0.16065209
AFG,2009,0.23258604
AFG,2010,0.2957424
AFG,2011,0.38877392
AFG,2012,0.31842902
AFG,2013,0.28117284
AFG,2014,0.26523322
AFG,2015,0.27738428
AFG,2016,0.24800518
AFG,2017,0.26089466
AFG,2018,0.27737236
AFG,2019,0.27472728
AFG,2020,0.28458965
AFG,2021,0.2467185
AFG,2022,0.25062045
AFG,2023,0.2536818
AFG,2024,0.25384834
,1884,0.000168105
,1885,0.000278653
,1886,0.000360277
,1887,0.00035831
,1888,0.00060305
,1889,0.000982041
,1890,0.002200313
,1891,0.002192385
,1892,0.003535324
,1893,0.013219625
,1894,0.017834708
,1895,0.024409406
,1896,0.031057494
,1897,0.034764815
,1898,0.043902785
,1899,0.039936516
,1900,0.016815761
,1901,0.028121473
,1902,0.04176499
,1903,0.056402333
,1904,0.06341765
,1905,0.07276437
,1906,0.08275714
,1907,0.0909625
,1908,0.09390756
,1909,0.10735923
,1910,0.12100435
,1911,0.116731
,1912,0.123760745
,1913,0.13460414
,1914,0.13367727
,1915,0.13349853
,1916,0.15768538
,1917,0.17112114
,1918,0.16625711
,1919,0.17010342
,1920,0.18615878
,1921,0.18404068
,1922,0.15595937
,1923,0.18666829
,1924,0.19445343
,1925,0.20180704
,1926,0.21327865
,1927,0.2069944
,1928,0.21005066
,1929,0.21359752
,1930,0.19853099
,1931,0.17142504
,1932,0.15295953
,1933,0.16163766
,1934,0.18227975
,1935,0.19862159
,1936,0.21307538
,1937,0.22562651
,1938,0.23430876
,1939,0.24609981
,1940,0.25714242
,1941,0.27570948
,1942,0.2956288
,1943,0.29735428
,1944,0.3243292
,1945,0.32344264
,1946,0.32124582
,1947,0.31506482
,1948,0.32733774
,1949,0.34674028
,1950,0.41649765
,1951,0.43507445
,1952,0.46483028
,1953,0.4620448
,1954,0.47448167
,1955,0.5110498
,1956,0.52177536
,1957,0.53477436
,1958,0.5492976
,1959,0.53397065
,1960,0.5522655
,1961,0.5578653
,1962,0.55908406
,1963,0.5783184
,1964,0.61948013
,1965,0.66652215
,1966,0.67250377
,1967,0.7027146
,1968,0.74299806
,1969,0.7812512
,1970,0.8285733
,1971,0.8848473
,1972,0.91397274
,1973,0.9557009
,1974,0.9551876
,1975,0.9258481
,1976,0.97630596
,1977,0.97882766
,1978,1.0157849
,1979,1.0643989
,1980,1.1106628
,1981,1.1039095
,1982,1.1156266
,1983,1.126713
,1984,1.1952857
,1985,1.1907741
,1986,1.1982255
,1987,1.1644024
,1988,1.1896181
,1989,1.1138495
,1990,1.0201536
,1991,1.0364912
,1992,0.97952044
,1993,1.012881
,1994,1.1055039
,1995,1.1512247
,1996,1.1604261
,1997,1.1603605
,1998,1.155051
,1999,1.1095276
,2000,1.1187239
,2001,1.0786057
,2002,1.0284268
,2003,1.1047004
,2004,1.1373577
,2005,1.1216333
,2006,1.1235152
,2007,1.1243716
,2008,1.1470915
,2009,1.11267
,2010,1.1359096
,2011,1.1513131
,2012,1.1207952
,2013,1.1065615
,2014,1.1458046
,2015,1.0964046
,2016,1.0941445
,2017,1.0749665
,2018,1.0589373
,2019,1.0815163
,2020,0.99283797
,2021,1.0448412
,2022,1.0096707
,2023,1.0019028
,2024,0.9925683
ALB,1933,0.007159781
ALB,1934,0.007086766
ALB,1935,0.017536236
ALB,1936,0.12147333
ALB,1937,0.27826673
