Code,Year,Daily calorie supply per person
AFG,1961,2914.3484
AFG,1962,2835.6074
AFG,1963,2623.7017
AFG,1964,2872.5679
AFG,1965,2876.179
AFG,1966,2663.3132
AFG,1967,2890.6982
AFG,1968,2839.0818
AFG,1969,2858.1667
AFG,1970,2472.4724
AFG,1971,2458.8677
AFG,1972,2610.9785
AFG,1973,2678.0298
AFG,1974,2670.5447
AFG,1975,2704.18
AFG,1976,2769.3225
AFG,1977,2431.7678
AFG,1978,2541.773
AFG,1979,2544.499
AFG,1980,2480.011
AFG,1981,2697.5786
AFG,1982,2850.6265
AFG,1983,2830.0835
AFG,1984,2597.447
AFG,1985,2424.4805
AFG,1986,2363.8213
AFG,1987,2649.216
AFG,1988,2406.4927
AFG,1989,2325.343
AFG,1990,2253.5522
AFG,1991,2106.3145
AFG,1992,1966.9045
AFG,1993,1939.6313
AFG,1994,1846.2291
AFG,1995,1900.2047
AFG,1996,1910.6196
AFG,1997,1931.7776
AFG,1998,1936.4718
AFG,1999,1861.2385
AFG,2000,1831.3184
AFG,2001,1828.0873
AFG,2002,1896.4564
AFG,2003,1923.8715
AFG,2004,2005.2656
AFG,2005,1984.4324
AFG,2006,1981.9991
AFG,2007,2080.6777
AFG,2008,2083.3396
AFG,2009,2099.3276
AFG,2010,2200.2102
AFG,2011,2171.8604
AFG,2012,2165.8794
AFG,2013,2205.3293
AFG,2014,2270.4495
AFG,2015,2251.2698
AFG,2016,2240.7097
AFG,2017,2307.2092
AFG,2018,2261.79
AFG,2019,2223.0999
AFG,2020,2259.9502
AFG,2021,2244.73
AFG,2022,2268.6294
AFG,2023,2314.63
OWID_AFR,1961,1995.521
OWID_AFR,1962,2028.8373
OWID_AFR,1963,2032.6652
OWID_AFR,1964,2043.4785
OWID_AFR,1965,2049.2883
OWID_AFR,1966,2017.2975
OWID_AFR,1967,2049.6848
OWID_AFR,1968,2060.9856
OWID_AFR,1969,2093.3875
OWID_AFR,1970,2113.2146
OWID_AFR,1971,2095.193
OWID_AFR,1972,2057.058
OWID_AFR,1973,2085.974
OWID_AFR,1974,2123.77
OWID_AFR,1975,2127.8428
OWID_AFR,1976,2121.8418
OWID_AFR,1977,2133.127
OWID_AFR,1978,2156.6943
OWID_AFR,1979,2182.742
OWID_AFR,1980,2215.539
OWID_AFR,1981,2219.383
OWID_AFR,1982,2221.053
OWID_AFR,1983,2183.6738
OWID_AFR,1984,2156.785
OWID_AFR,1985,2208.2957
OWID_AFR,1986,2242.3706
OWID_AFR,1987,2227.5662
OWID_AFR,1988,2246.043
OWID_AFR,1989,2246.6675
OWID_AFR,1990,2257.2246
OWID_AFR,1991,2282.8687
OWID_AFR,1992,2278.196
OWID_AFR,1993,2287.6907
OWID_AFR,1994,2304.3018
OWID_AFR,1995,2326.7202
OWID_AFR,1996,2337.3662
OWID_AFR,1997,2347.1843
OWID_AFR,1998,2365.135
OWID_AFR,1999,2373.2039
OWID_AFR,2000,2371.8767
OWID_AFR,2001,2392.6775
OWID_AFR,2002,2404.4924
OWID_AFR,2003,2407.911
OWID_AFR,2004,2416.9563
OWID_AFR,2005,2444.963
OWID_AFR,2006,2462.0867
OWID_AFR,2007,2462.988
OWID_AFR,2008,2476.1228
OWID_AFR,2009,2481.4468
OWID_AFR,2010,2536.139
OWID_AFR,2011,2536.0955
OWID_AFR,2012,2549.755
OWID_AFR,2013,2547.7673
OWID_AFR,2014,2561.427
OWID_AFR,2015,2557.6147
OWID_AFR,2016,2545.0886
OWID_AFR,2017,2559.1206
OWID_AFR,2018,2567.5303
OWID_AFR,2019,2560.8735
OWID_AFR,2020,2566.9883
OWID_AFR,2021,2570.5964
OWID_AFR,2022,2584.4666
OWID_AFR,2023,2594.1646
,1961,1993
,1962,2025
,1963,2028
,1964,2037
,1965,2042
,1966,2009
,1967,2041
,1968,2053
,1969,2086
,1970,2105
,1971,2087
,1972,2049
,1973,2079
,1974,2120
,1975,2127
,1976,2127
,1977,2143
,1978,2169
,1979,2198
,1980,2233
,1981,2241
,1982,2246
,1983,2210
,1984,2182
,1985,2233
,1986,2268
,1987,2254
,1988,2274
,1989,2278
,1990,2291
,1991,2322
,1992,2320
,1993,2342
,1994,2356
,1995,2376
,1996,2390
,1997,2403
,1998,2423
,1999,2433
,2000,2433
,2001,2457
,2002,2473
,2003,2480
,2004,2493
,2005,2525
,2006,2546
,2007,2550
,2008,2567
,2009,2575
,2010,2548.82
,2011,2550.51
,2012,2549.29
,2013,2547.28
,2014,2560.97
,2015,2557.16
,2016,2544.65
,2017,2558.72
,2018,2567.13
,2019,2560.55
,2020,2566.85
,2021,2570.5
,2022,2583.45
,2023,2555.94
ALB,1961,2184.0034
ALB,1962,2210.192
ALB,1963,2131.58
ALB,1964,2246.0295
ALB,1965,2229.8252
ALB,1966,2226.2026
ALB,1967,2228.75
ALB,1968,2300.1367
ALB,1969,2356.6577
ALB,1970,2368.2483
ALB,1971,2317.768
ALB,1972,2348.0847
ALB,1973,2395.5757
ALB,1974,2460.3257
ALB,1975,2465.6948
ALB,1976,2653.7625
ALB,1977,2754.7976
ALB,1978,2671.9724
ALB,1979,2596.8953
ALB,1980,2595.5977
ALB,1981,2684.2349
ALB,1982,2679.992
ALB,1983,2821.9548
ALB,1984,2754.0737
ALB,1985,2608.8667
ALB,1986,2754.7676
ALB,1987,2578.8025
ALB,1988,2693.3672
ALB,1989,2682.1736
ALB,1990,2700.4243
ALB,1991,2710.9907
ALB,1992,2786.998
ALB,1993,2913.6692
ALB,1994,2977.83
ALB,1995,2799.9023
ALB,1996,2926.494
ALB,1997,2810.5005
ALB,1998,2822.5068
ALB,1999,2910.5098
ALB,2000,2853.901
ALB,2001,2925.9292
ALB,2002,2982.71
ALB,2003,2879.4868
ALB,2004,2897.7256
ALB,2005,2985.9683
ALB,2006,2975.903
ALB,2007,2995.4014
ALB,2008,3108.549
ALB,2009,3184.5295
ALB,2010,3237.4177
ALB,2011,3282.9211
ALB,2012,3324.8267
ALB,2013,3317.949
ALB,2014,3294.382
ALB,2015,3310.4854
ALB,2016,3345.0325
ALB,2017,3354.924
ALB,2018,3331.9011
ALB,2019,3361.1887
ALB,2020,3343.03
ALB,2021,3068.2888
ALB,2022,3263.4656
ALB,2023,3237.8
DZA,1947,1279
DZA,1948,1421
DZA,1961,1609.55
DZA,1962,1574.881
DZA,1963,1547.6232
DZA,1964,1573.2778
DZA,1965,1643.1097
DZA,1966,1637.4998
DZA,1967,1726.4182
DZA,1968,1798.5208
DZA,1969,1807.6143
DZA,1970,1785.2526
DZA,1971,1841.8807
DZA,1972,1988.0459
DZA,1973,1996.9695
DZA,1974,2146.7593
DZA,1975,2209.6594
DZA,1976,2159.5007
DZA,1977,2311.948
DZA,1978,2454.3281
DZA,1979,2559.9993
DZA,1980,2685.6763
DZA,1981,2716.3457
DZA,1982,2685.7007
DZA,1983,2664.1301
DZA,1984,2603.1912
DZA,1985,2712.5474
DZA,1986,2718.6455
DZA,1987,2718.8032
DZA,1988,2784.951
DZA,1989,2851.7058
DZA,1990,2847.7888
DZA,1991,2828.2854
DZA,1992,2962.524
DZA,1993,2957.53
DZA,1994,2848.7737
DZA,1995,2867.6404
DZA,1996,2861.859
DZA,1997,2803.7476
DZA,1998,2863.1482
DZA,1999,2917.7861
DZA,2000,2886.168
DZA,2001,2961.4194
DZA,2002,3000.741
DZA,2003,3046.3538
DZA,2004,3063.232
DZA,2005,3034.0952
DZA,2006,3127.0632
DZA,2007,3121.7253
DZA,2008,3127.4927
DZA,2009,3188.214
DZA,2010,3213.14
DZA,2011,3317.0005
DZA,2012,3329.8306
DZA,2013,3405.3499
DZA,2014,3398.1997
DZA,2015,3384.2002
