Code,Year,GDP per capita
AFG,1950,1156
AFG,1951,1170
AFG,1952,1189
AFG,1953,1240
AFG,1954,1245
AFG,1955,1246
AFG,1956,1278
AFG,1957,1253
AFG,1958,1298
AFG,1959,1307
AFG,1960,1326
AFG,1961,1309
AFG,1962,1302
AFG,1963,1298
AFG,1964,1291
AFG,1965,1290
AFG,1966,1272
AFG,1967,1277
AFG,1968,1290
AFG,1969,1278
AFG,1970,1272
AFG,1971,1237
AFG,1972,1007
AFG,1973,1011
AFG,1974,1039
AFG,1975,1074
AFG,1976,1105
AFG,1977,1022
AFG,1978,1070
AFG,1979,1023
AFG,1980,1019
AFG,1981,1144
AFG,1982,1270
AFG,1983,1347
AFG,1984,1337
AFG,1985,1304
AFG,1986,1344
AFG,1987,1211
AFG,1988,1101
AFG,1989,999
AFG,1990,963
AFG,1991,881.1704
AFG,1992,843.87537
AFG,1993,578.4028
AFG,1994,428.42456
AFG,1995,632.94037
AFG,1996,600.1753
AFG,1997,570.59814
AFG,1998,545.03876
AFG,1999,518.65784
AFG,2000,502.37274
AFG,2001,489.682
AFG,2002,796.8166
AFG,2003,842.8052
AFG,2004,869.03925
AFG,2005,964.4081
AFG,2006,1057.0966
AFG,2007,1259.9967
AFG,2008,1319.6074
AFG,2009,1557.3207
AFG,2010,1627.6716
AFG,2011,1792
AFG,2012,1945
AFG,2013,2025
AFG,2014,2022
AFG,2015,1928
AFG,2016,1931.2438
AFG,2017,1909.733
AFG,2018,1888.814
AFG,2019,2031.7373
AFG,2020,1928.4547
AFG,2021,1485.547
AFG,2022,1357.9878
ALB,1870,711
ALB,1890,953
ALB,1900,1092
ALB,1910,1243
ALB,1913,1293
ALB,1929,1476
ALB,1950,1596
ALB,1951,1666
ALB,1952,1667
ALB,1953,1736
ALB,1954,1785
ALB,1955,1882
ALB,1956,1902
ALB,1957,2023
ALB,1958,2114
ALB,1959,2201
ALB,1960,2313
ALB,1961,2332
ALB,1962,2409
ALB,1963,2491
ALB,1964,2576
ALB,1965,2670
ALB,1966,2770
ALB,1967,2876
ALB,1968,2979
ALB,1969,3080
ALB,1970,3194
ALB,1971,3322
ALB,1972,3451
ALB,1973,3623
ALB,1974,3637
ALB,1975,3649
ALB,1976,3665
ALB,1977,3681
ALB,1978,3696
ALB,1979,3716
ALB,1980,3741
ALB,1981,3762
ALB,1982,3783
ALB,1983,3805
ALB,1984,3826
ALB,1985,3846
ALB,1986,3870
ALB,1987,3894
ALB,1988,3920
ALB,1989,3948
ALB,1990,3983
ALB,1991,2942.1006
ALB,1992,2841.7651
ALB,1993,3137.024
ALB,1994,3399.7102
ALB,1995,3666.6506
ALB,1996,3965.6853
ALB,1997,3526.9856
ALB,1998,3873.373
ALB,1999,4432.0425
ALB,2000,4808.4795
ALB,2001,5285.809
ALB,2002,5608.9624
ALB,2003,6004.645
ALB,2004,6419.8706
ALB,2005,6858.4673
ALB,2006,7347.33
ALB,2007,7866.1577
ALB,2008,8522.13
ALB,2009,8859.472
ALB,2010,9222.973
ALB,2011,9484
ALB,2012,9634.334
ALB,2013,9748.728
ALB,2014,9942.276
ALB,2015,10192.529
ALB,2016,10547.255
ALB,2017,10958.307
ALB,2018,11426.92
ALB,2019,11715.307
ALB,2020,11372.541
ALB,2021,12455.917
ALB,2022,12978.101
DZA,1820,685
DZA,1870,1140
DZA,1913,1854
DZA,1950,2176
DZA,1951,2147
DZA,1952,2193
DZA,1953,2182
DZA,1954,2291
DZA,1955,2303
DZA,1956,2475
DZA,1957,2699
DZA,1958,2740
DZA,1959,3178
DZA,1960,3328
DZA,1961,2868
DZA,1962,2284
DZA,1963,2818
DZA,1964,2879
DZA,1965,2981
DZA,1966,2750
DZA,1967,2907
DZA,1968,3151
DZA,1969,3355
DZA,1970,3585
DZA,1971,3188
DZA,1972,3746
DZA,1973,3757
DZA,1974,3870
DZA,1975,4020
DZA,1976,4157
DZA,1977,4398
DZA,1978,4812
DZA,1979,5088
DZA,1980,5024
DZA,1981,4991
DZA,1982,5145
DZA,1983,5243
DZA,1984,5361
DZA,1985,5469
DZA,1986,5262
DZA,1987,5088
DZA,1988,4850
DZA,1989,4889
DZA,1990,4697
DZA,1991,4708.232
DZA,1992,4850.223
DZA,1993,4816.924
DZA,1994,4856.9854
DZA,1995,5142.384
DZA,1996,5451.6343
DZA,1997,5638.48
DZA,1998,6069.7773
DZA,1999,6421.5083
DZA,2000,6834.5537
DZA,2001,7218.2456
DZA,2002,7814.8384
DZA,2003,8590.178
DZA,2004,9182.294
DZA,2005,9969.623
DZA,2006,10385.779
DZA,2007,10974.742
DZA,2008,11475.002
DZA,2009,11907.021
DZA,2010,12587.744
DZA,2011,13204
DZA,2012,13392.944
DZA,2013,13508.265
DZA,2014,13760.384
DZA,2015,14007.894
DZA,2016,14198.272
DZA,2017,14149.915
DZA,2018,14083.772
DZA,2019,14000.279
DZA,2020,13086.293
DZA,2021,13337.262
DZA,2022,13506.444
AGO,1950,1677
AGO,1951,1715
AGO,1952,1755
AGO,1953,1795
AGO,1954,1720
AGO,1955,1830
AGO,1956,1769
AGO,1957,1908
AGO,1958,1978
AGO,1959,1953
AGO,1960,1997
AGO,1961,2225
AGO,1962,2128
AGO,1963,2200
AGO,1964,2407
AGO,1965,2544
AGO,1966,2646
AGO,1967,2753
AGO,1968,2665
AGO,1969,2695
AGO,1970,2818
AGO,1971,2754
AGO,1972,2729
AGO,1973,2852
AGO,1974,2727
AGO,1975,1710
AGO,1976,1521
AGO,1977,1500
AGO,1978,1530
AGO,1979,1527
AGO,1980,1532
AGO,1981,1471
AGO,1982,1374
AGO,1983,1288
AGO,1984,1259
AGO,1985,1242
AGO,1986,1106
AGO,1987,1211
AGO,1988,1360
AGO,1989,1360
AGO,1990,1384
AGO,1991,1437.1472
AGO,1992,1389.3295
AGO,1993,1080.4806
AGO,1994,1120.8481
AGO,1995,1319.1589
AGO,1996,1533.9839
AGO,1997,1687.3177
AGO,1998,1811.1681
AGO,1999,1899.4152
AGO,2000,2013.6362
AGO,2001,2162.485
AGO,2002,2522.6719
AGO,2003,2711.9282
AGO,2004,3064.2986
AGO,2005,3708.7705
AGO,2006,4592.3374
AGO,2007,5773.5483
AGO,2008,6743.748
AGO,2009,7087.604
AGO,2010,7520.6655
AGO,2011,8016
AGO,2012,8376.946
AGO,2013,8463.942
AGO,2014,8548.293
AGO,2015,8319.567
AGO,2016,7819.1475
AGO,2017,7535.6123
AGO,2018,7180.3555
AGO,2019,6886.954
AGO,2020,6279.929
AGO,2021,6137.004
AGO,2022,6118.905
ARG,1800,1484
ARG,1820,1591
ARG,1850,1994
ARG,1860,2160
ARG,1870,2340
ARG,1875,2606
ARG,1876,2611
ARG,1877,2820
ARG,1878,2619
ARG,1879,2664
ARG,1880,2557
ARG,1881,2541
ARG,1882,3108
ARG,1883,3373
ARG,1884,3486
ARG,1885,3904
ARG,1886,3771
ARG,1887,3841
ARG,1888,4219
ARG,1889,4288
ARG,1890,3851
ARG,1891,3631
ARG,1892,4251
ARG,1893,4409
ARG,1894,4968
ARG,1895,5384
ARG,1896,5716
ARG,1897,4500
ARG,1898,4741
ARG,1899,5412
ARG,1900,4583
ARG,1901,4591
ARG,1902,4331
ARG,1903,4769
ARG,1904,5086
ARG,1905,5545
ARG,1906,5608
ARG,1907,5514
ARG,1908,5829
ARG,1909,5896
ARG,1910,6092
ARG,1911,5971
ARG,1912,6223
ARG,1913,6052
ARG,1914,5263
ARG,1915,5171
ARG,1916,4927
ARG,1917,4447
ARG,1918,5177
ARG,1919,5271
ARG,1920,5536
ARG,1921,5533
ARG,1922,5796
ARG,1923,6213
ARG,1924,6464
ARG,1925,6247
ARG,1926,6366
ARG,1927,6625
ARG,1928,6840
ARG,1929,6961
ARG,1930,6503
ARG,1931,5917
ARG,1932,5614
ARG,1933,5772
ARG,1934,6129
ARG,1935,6296
ARG,1936,6236
