Code,Year,"Measles, first dose (MCV1)",Polio (Pol3),Tetanus (DTP3)
AFG,1980,11,,4
AFG,1981,,3,3
AFG,1982,8,5,5
AFG,1983,9,5,5
AFG,1984,14,16,16
AFG,1985,14,15,15
AFG,1986,14,11,11
AFG,1987,31,25,25
AFG,1988,34,35,35
AFG,1989,22,33,33
AFG,1990,20,25,25
AFG,1991,19,23,23
AFG,1992,22,21,21
AFG,1993,25,18,18
AFG,1994,40,8,12
AFG,1995,41,20,20
AFG,1996,42,31,31
AFG,1997,38,28,28
AFG,1998,31,28,27
AFG,1999,31,27,27
AFG,2000,27,24,24
AFG,2001,37,35,33
AFG,2002,35,36,36
AFG,2003,39,41,41
AFG,2004,48,50,50
AFG,2005,50,58,58
AFG,2006,53,58,58
AFG,2007,55,63,63
AFG,2008,59,64,64
AFG,2009,60,63,63
AFG,2010,62,66,66
AFG,2011,64,68,68
AFG,2012,59,67,67
AFG,2013,57,64,64
AFG,2014,60,63,62
AFG,2015,62,65,64
AFG,2016,64,66,66
AFG,2017,64,64,64
AFG,2018,66,67,68
AFG,2019,57,63,65
AFG,2020,57,61,61
AFG,2021,51,55,55
AFG,2022,56,60,58
AFG,2023,55,59,60
AFG,2024,55,59,59
,1980,8.786264,10.656941,9.277582
,1981,13.580729,14.858231,14.022753
,1982,16.164875,17.513079,15.809792
,1983,22.499367,23.837606,22.322681
,1984,27.352703,28.816013,28.28405
,1985,37.62123,36.02056,36.268597
,1986,43.977207,41.261726,40.47252
,1987,48.10331,46.605217,46.72535
,1988,53.313152,50.110027,50.223446
,1989,58.961113,55.000828,55.14232
,1990,60.105045,60.271767,59.972057
,1991,57.628433,54.673088,52.797005
,1992,54.902905,54.057693,53.439896
,1993,55.638187,53.640858,53.49583
,1994,58.45615,58.064976,57.248314
,1995,58.019104,57.03712,56.694935
,1996,58.00148,56.40176,54.872524
,1997,57.53823,56.894573,53.398884
,1998,55.325893,54.607246,52.287926
,1999,53.5792,55.012875,53.581036
,2000,54.722828,56.554966,55.341278
,2001,56.277573,58.195076,56.129673
,2002,57.412434,61.474846,57.02368
,2003,59.891342,63.548756,59.634342
,2004,62.030148,64.989655,62.334972
,2005,63.866272,67.41643,65.328316
,2006,66.37628,68.461075,67.2315
,2007,67.298035,71.50171,68.79068
,2008,69.40252,73.2488,71.48086
,2009,73.46192,75.33385,74.411896
,2010,73.390434,73.83294,73.46686
,2011,73.64174,72.82664,74.61576
,2012,72.30804,72.68645,71.65287
,2013,71.62015,72.19931,71.83244
,2014,71.3308,73.28532,73.63328
,2015,70.98795,73.538574,73.12944
,2016,71.45272,74.914406,75.721985
,2017,72.51367,75.375946,76.03318
,2018,72.62932,76.39207,77.16519
,2019,73.30447,77.7159,78.16262
,2020,71.99248,74.14831,75.56682
,2021,70.4967,72.926674,74.68514
,2022,69.96948,72.966705,74.55958
,2023,70.975334,76.04714,75.851456
,1980,6,6,5
,1981,12,11,11
,1982,14,13,12
,1983,21,19,18
,1984,26,24,24
,1985,35,31,32
,1986,42,37,37
,1987,45,42,42
,1988,50,45,46
,1989,56,51,51
,1990,57,57,57
,1991,54,51,49
,1992,51,50,50
,1993,52,49,50
,1994,56,55,55
,1995,55,54,54
,1996,54,53,51
,1997,54,53,50
,1998,51,51,48
,1999,49,50,49
,2000,50,52,51
,2001,53,54,52
,2002,54,58,53
,2003,57,61,56
,2004,59,62,59
,2005,61,65,62
,2006,64,66,65
,2007,65,69,66
,2008,68,71,70
,2009,72,74,73
,2010,71,72,71
,2011,71,70,72
,2012,70,70,69
,2013,69,69,69
,2014,69,70,71
,2015,68,71,70
,2016,68,72,73
,2017,70,73,74
,2018,70,74,75
,2019,71,76,76
,2020,70,72,74
,2021,68,70,73
,2022,67,70,72
,2023,70,75,75
,2024,71,75,76
ALB,1980,90,92,94
ALB,1981,90,92,94
ALB,1982,93,92,95
ALB,1983,96,92,95
ALB,1984,96,92,95
ALB,1985,96,94,96
ALB,1986,96,94,96
ALB,1987,96,94,96
ALB,1988,96,96,96
ALB,1989,96,96,94
ALB,1990,88,89,94
ALB,1991,80,82,78
ALB,1992,87,97,94
ALB,1993,76,98,96
ALB,1994,90,98,99
ALB,1995,91,98,97
ALB,1996,92,99,98
ALB,1997,95,99,99
ALB,1998,89,97,96
ALB,1999,85,97,97
ALB,2000,95,97,97
ALB,2001,95,97,97
ALB,2002,96,98,98
ALB,2003,93,97,97
ALB,2004,96,98,97
ALB,2005,97,97,98
ALB,2006,95,97,97
ALB,2007,97,99,98
ALB,2008,98,99,99
ALB,2009,97,98,98
ALB,2010,99,99,99
ALB,2011,99,99,99
ALB,2012,98,99,99
ALB,2013,99,99,99
ALB,2014,98,98,99
ALB,2015,97,99,99
ALB,2016,96,98,99
ALB,2017,96,99,99
ALB,2018,94,99,99
ALB,2019,95,99,99
ALB,2020,91,98,98
ALB,2021,87,98,98
ALB,2022,86,98,97
ALB,2023,83,97,97
ALB,2024,81,97,97
DZA,1981,,31,
DZA,1982,,31,
DZA,1983,,30,
DZA,1984,,30,
DZA,1985,68,69,69
DZA,1986,67,72,73
DZA,1987,73,79,79
DZA,1988,81,85,85
DZA,1989,82,87,87
DZA,1990,83,89,89
DZA,1991,85,89,89
DZA,1992,86,88,88
DZA,1993,87,88,88
DZA,1994,88,87,87
DZA,1995,89,88,88
DZA,1996,90,88,88
DZA,1997,92,89,89
DZA,1998,84,85,85
DZA,1999,83,83,83
DZA,2000,80,86,86
DZA,2001,83,89,89
DZA,2002,81,86,86
DZA,2003,84,87,87
DZA,2004,81,86,86
DZA,2005,83,88,88
DZA,2006,91,95,95
DZA,2007,92,95,95
DZA,2008,88,92,93
DZA,2009,92,94,95
DZA,2010,95,95,95
DZA,2011,95,95,95
DZA,2012,95,95,95
DZA,2013,95,95,95
DZA,2014,95,95,95
DZA,2015,95,95,95
DZA,2016,94,91,91
DZA,2017,88,91,91
DZA,2018,80,91,91
DZA,2019,80,88,88
DZA,2020,80,84,84
DZA,2021,79,81,81
DZA,2022,79,77,77
DZA,2023,99,88,92
DZA,2024,94,89,92
,1980,52,67,51
,1981,59,61,54
,1982,59,66,58
,1983,59,67,60
,1984,62,72,64
,1985,68,66,64
,1986,68,72,65
,1987,66,76,69
,1988,74,80,72
,1989,76,77,72
,1990,80,75,74
,1991,82,77,80
,1992,83,76,79
,1993,83,77,81
,1994,84,82,84
,1995,87,85,86
,1996,86,86,85
,1997,89,88,86
,1998,91,89,88
,1999,92,91,90
,2000,93,91,91
,2001,94,91,91
,2002,93,92,92
,2003,94,93,93
,2004,93,92,94
,2005,92,92,94
,2006,94,94,94
,2007,93,93,94
,2008,94,94,93
,2009,93,93,94
,2010,93,93,94
,2011,94,93,94
,2012,94,93,93
,2013,92,90,91
,2014,93,90,90
,2015,93,91,91
,2016,92,87,91
,2017,88,87,87
,2018,91,87,88
,2019,87,87,84
,2020,86,80,81
,2021,85,80,81
,2022,84,82,83
,2023,86,85,86
,2024,88,83,86
AND,1997,90,90,90
AND,1998,90,90,89
AND,1999,97,95,90
AND,2000,97,95,98
AND,2001,97,95,96
AND,2002,98,95,97
AND,2003,96,99,99
AND,2004,98,99,99
AND,2005,94,98,98
AND,2006,91,93,93
AND,2007,94,96,96
AND,2008,98,99,99
AND,2009,98,99,99
AND,2010,99,99,99
AND,2011,99,99,99
AND,2012,98,99,99
AND,2013,95,97,96
AND,2014,96,97,97
AND,2015,96,97,97
AND,2016,97,98,98
AND,2017,99,99,99
AND,2018,99,99,99
AND,2019,99,99,99
AND,2020,98,99,99
AND,2021,99,98,99
AND,2022,98,97,98
AND,2023,99,98,98
AND,2024,98,98,98
AGO,1983,26,,6
AGO,1984,35,,8
AGO,1985,44,13,8
AGO,1986,44,15,10
AGO,1987,55,16,10
AGO,1988,56,13,12
AGO,1989,48,19,18
AGO,1990,38,23,24
AGO,1991,39,26,26
AGO,1992,39,21,21
AGO,1993,47,28,30
AGO,1994,44,28,27
AGO,1995,46,28,24
AGO,1996,62,33,28
AGO,1997,78,38,41
AGO,1998,62,43,47
AGO,1999,46,32,21
AGO,2000,41,21,31
AGO,2001,72,28,42
AGO,2002,74,22,47
AGO,2003,62,21,46
AGO,2004,64,18,47
AGO,2005,45,14,47
AGO,2006,48,8,44
AGO,2007,58,43,43
AGO,2008,58,44,45
AGO,2009,58,44,47
AGO,2010,59,45,49
AGO,2011,59,45,50
AGO,2012,59,47,52
AGO,2013,59,46,54
AGO,2014,56,55,55
AGO,2015,52,57,57
AGO,2016,49,56,59
AGO,2017,47,52,58
AGO,2018,56,64,67
AGO,2019,59,61,64
AGO,2020,54,59,59
AGO,2021,48,53,55
AGO,2022,50,54,54
AGO,2023,63,73,66
AGO,2024,53,56,64
ATG,1980,,36,54
ATG,1981,,47,79
ATG,1982,,86,79
ATG,1983,48,99,99
ATG,1984,73,93,94
ATG,1985,69,99,99
ATG,1986,80,96,96
ATG,1987,89,99,97
ATG,1988,95,99,98
ATG,1989,95,99,99
ATG,1990,89,99,99
ATG,1991,87,97,94
ATG,1992,99,99,99
ATG,1993,99,99,99
ATG,1994,91,99,99
ATG,1995,93,99,99
ATG,1996,99,99,99
ATG,1997,93,99,99
ATG,1998,99,99,99
ATG,1999,99,99,99
ATG,2000,95,96,95
ATG,2001,97,99,97
ATG,2002,99,93,98
ATG,2003,99,99,99
ATG,2004,97,97,97
ATG,2005,99,98,99
ATG,2006,99,99,99
ATG,2007,99,98,99
ATG,2008,99,99,99
ATG,2009,99,98,99
ATG,2010,98,99,98
ATG,2011,99,99,99
ATG,2012,98,97,98
ATG,2013,96,98,99
ATG,2014,93,96,99
ATG,2015,91,86,99
ATG,2016,88,87,92
ATG,2017,99,94,95
ATG,2018,96,94,95
ATG,2019,97,97,99
ATG,2020,89,95,96
ATG,2021,85,92,92
ATG,2022,99,99,99
ATG,2023,94,98,97
ATG,2024,97,99,99
ARG,1980,61,33,44
ARG,1981,77,40,49
ARG,1982,67,48,58
ARG,1983,67,79,61
ARG,1984,79,72,62
ARG,1985,54,73,66
ARG,1986,87,79,67
ARG,1987,80,85,75
ARG,1988,87,90,80
ARG,1989,89,86,80
ARG,1990,93,90,87
ARG,1991,99,86,80
ARG,1992,92,85,81
ARG,1993,95,82,81
ARG,1994,96,85,82
ARG,1995,99,90,85
ARG,1996,99,90,83
ARG,1997,93,92,88
ARG,1998,95,90,84
ARG,1999,97,91,86
ARG,2000,91,88,83
ARG,2001,89,85,83
ARG,2002,95,94,93
ARG,2003,97,95,96
ARG,2004,99,91,98
ARG,2005,98,95,98
ARG,2006,97,92,91
ARG,2007,94,92,91
ARG,2008,96,94,93
ARG,2009,96,97,94
ARG,2010,95,95,94
ARG,2011,95,93,91
ARG,2012,94,90,91
ARG,2013,94,90,94
ARG,2014,95,92,94
ARG,2015,89,93,94
ARG,2016,90,87,92
ARG,2017,90,85,88
ARG,2018,94,84,86
ARG,2019,86,83,83
ARG,2020,77,74,74
ARG,2021,86,79,81
ARG,2022,85,84,84
ARG,2023,80,71,66
ARG,2024,82,74,75
ARM,1992,93,92,85
ARM,1993,95,92,85
ARM,1994,95,92,86
ARM,1995,96,93,98
ARM,1996,89,97,86
ARM,1997,92,95,88
ARM,1998,94,96,82
ARM,1999,92,97,91
ARM,2000,92,96,93
ARM,2001,93,97,94
ARM,2002,91,96,94
ARM,2003,94,96,94
ARM,2004,92,93,91
ARM,2005,94,92,90
ARM,2006,92,87,87
ARM,2007,92,90,88
ARM,2008,94,91,89
ARM,2009,96,94,93
ARM,2010,97,96,94
ARM,2011,97,96,95
ARM,2012,97,96,95
ARM,2013,97,96,95
ARM,2014,97,95,93
ARM,2015,97,96,94
ARM,2016,97,96,94
ARM,2017,96,96,94
ARM,2018,95,92,92
ARM,2019,95,94,92
ARM,2020,94,86,91
ARM,2021,94,93,93
ARM,2022,95,93,93
ARM,2023,96,94,94
ARM,2024,96,94,94
,1980,3.8205335,5.8517675,8.555654
,1981,4.483513,7.3443236,10.441083
,1982,5.3551435,35.459896,12.753736
,1983,30.324783,36.912388,31.255417
,1984,34.029938,39.15726,37.64228
,1985,38.087414,43.484604,42.249195
,1986,36.875126,41.398907,45.579643
,1987,47.19247,49.96647,49.939198
,1988,58.71453,61.330334,62.144104
,1989,64.98115,69.60968,68.289375
,1990,71.98526,76.6369,77.56191
,1991,66.407585,72.8155,72.16295
,1992,68.91477,72.16261,71.37619
,1993,69.66521,71.8902,71.14129
,1994,71.13605,73.922844,72.938576
,1995,73.70645,74.61246,73.544426
,1996,73.67052,74.46391,73.013084
,1997,69.70627,73.700294,72.021835
,1998,69.295364,73.56679,71.876305
,1999,70.85432,72.970726,71.643616
,2000,70.86882,72.27705,71.955734
,2001,71.857834,72.83504,73.00984
,2002,70.892525,72.77976,72.07619
,2003,72.64676,73.3439,73.72502
,2004,75.37893,74.254814,76.073204
,2005,77.25862,77.128525,76.34098
,2006,78.96736,78.640175,77.660706
,2007,79.39646,78.977165,77.16274
,2008,81.29346,81.31973,80.77692
,2009,84.06166,83.26628,83.04901
,2010,85.56701,83.90395,84.75719
,2011,86.73629,85.671074,86.69858
,2012,86.13617,85.84221,86.76489
,2013,87.10153,87.08824,86.627464
,2014,87.973175,88.17108,88.11025
,2015,89.07358,88.66954,88.65347
,2016,89.80111,88.889565,89.47677
,2017,90.482544,90.088905,89.945595
,2018,91.79996,90.24884,90.364426
,2019,92.1312,90.89924,91.13414
,2020,89.190605,87.268265,87.368744
,2021,87.02089,85.02861,85.43384
,2022,91.1721,90.21514,91.16684
,2023,89.16954,87.96001,88.782524
AUS,1980,,17,33
AUS,1981,,43,40
AUS,1982,,68,48
AUS,1983,68,94,55
AUS,1984,68,94,62
AUS,1985,68,94,68
AUS,1986,68,95,75
AUS,1987,68,95,81
AUS,1988,77,95,88
AUS,1989,85,95,93
AUS,1990,86,72,95
AUS,1991,86,75,93
AUS,1992,86,78,91
AUS,1993,86,80,90
AUS,1994,86,83,88
AUS,1995,87,86,86
AUS,1996,87,86,86
AUS,1997,85,77,77
AUS,1998,82,83,82
AUS,1999,88,88,88
AUS,2000,91,90,90
AUS,2001,92,91,92
AUS,2002,94,92,92
AUS,2003,94,92,93
AUS,2004,94,92,92
AUS,2005,94,92,92
AUS,2006,94,92,92
AUS,2007,94,92,92
AUS,2008,94,92,92
AUS,2009,94,92,92
AUS,2010,94,92,92
AUS,2011,94,92,92
AUS,2012,94,92,92
AUS,2013,94,91,91
AUS,2014,94,92,92
AUS,2015,95,93,93
AUS,2016,95,94,94
AUS,2017,94,95,95
AUS,2018,94,95,95
AUS,2019,94,95,95
AUS,2020,93,95,95
AUS,2021,93,95,95
AUS,2022,96,94,94
AUS,2023,91,94,94
AUS,2024,91,94,93
AUT,1980,,90,90
AUT,1981,25,90,90
AUT,1982,25,90,90
AUT,1983,25,90,90
AUT,1984,30,90,90
AUT,1985,40,90,90
AUT,1986,60,90,90
AUT,1987,60,90,90
AUT,1988,60,90,90
AUT,1989,60,90,90
AUT,1990,60,90,90
AUT,1991,60,90,90
AUT,1992,60,90,90
AUT,1993,60,90,90
AUT,1994,60,90,90
AUT,1995,60,90,90
AUT,1996,87,95,90
AUT,1997,90,95,90
AUT,1998,78,87,82
AUT,1999,65,79,74
AUT,2000,75,71,81
AUT,2001,79,83,84
AUT,2002,78,82,83
AUT,2003,79,84,84
AUT,2004,74,83,83
AUT,2005,75,86,86
AUT,2006,80,83,83
AUT,2007,79,85,85
AUT,2008,83,83,83
AUT,2009,76,83,83
AUT,2010,80,86,86
AUT,2011,84,89,89
AUT,2012,88,92,92
AUT,2013,92,95,95
AUT,2014,96,98,98
AUT,2015,96,93,93
AUT,2016,95,87,87
AUT,2017,96,90,90
AUT,2018,94,85,85
AUT,2019,95,88,88
AUT,2020,95,85,85
AUT,2021,99,86,86
AUT,2022,95,84,84
AUT,2023,90,87,87
AUT,2024,90,85,85
AZE,1992,52,63,58
AZE,1993,49,69,66
AZE,1994,60,68,69
AZE,1995,64,71,74
AZE,1996,65,72,74
AZE,1997,66,73,70
AZE,1998,67,74,73
AZE,1999,68,76,75
AZE,2000,67,75,76
AZE,2001,68,77,77
AZE,2002,66,80,76
AZE,2003,67,79,77
AZE,2004,67,78,77
AZE,2005,67,79,75
AZE,2006,69,80,78
AZE,2007,75,81,79
AZE,2008,79,85,81
AZE,2009,85,84,81
AZE,2010,89,85,81
AZE,2011,88,86,82
AZE,2012,86,84,79
AZE,2013,86,83,78
AZE,2014,85,83,78
AZE,2015,84,84,79
AZE,2016,81,84,78
AZE,2017,80,82,76
AZE,2018,77,80,74
AZE,2019,78,80,74
AZE,2020,61,68,56
AZE,2021,66,66,49
AZE,2022,71,67,51
AZE,2023,71,67,51
AZE,2024,71,67,51
BHS,1980,,35,36
BHS,1981,,40,55
BHS,1982,65,67,69
BHS,1983,66,65,65
BHS,1984,63,69,69
BHS,1985,79,84,86
BHS,1986,85,81,85
BHS,1987,87,76,85
BHS,1988,78,84,85
BHS,1989,87,82,86
BHS,1990,86,82,86
BHS,1991,93,91,92
BHS,1992,94,92,92
BHS,1993,88,91,91
BHS,1994,88,91,91
BHS,1995,90,86,87
BHS,1996,92,85,85
BHS,1997,93,86,86
BHS,1998,92,88,89
BHS,1999,86,82,82
BHS,2000,93,91,99
BHS,2001,94,98,99
BHS,2002,94,93,94
BHS,2003,90,93,92
BHS,2004,89,92,93
BHS,2005,85,93,93
BHS,2006,88,94,95
BHS,2007,96,95,95
BHS,2008,90,93,93
BHS,2009,98,97,96
BHS,2010,94,97,99
BHS,2011,90,97,98
BHS,2012,91,99,98
BHS,2013,92,97,97
BHS,2014,92,96,96
BHS,2015,94,95,95
BHS,2016,89,94,94
BHS,2017,90,94,94
BHS,2018,89,90,90
BHS,2019,83,89,89
BHS,2020,87,83,83
BHS,2021,82,86,86
BHS,2022,80,87,87
BHS,2023,86,87,87
BHS,2024,86,90,90
BHR,1980,45,72,72
BHR,1981,50,75,75
BHR,1982,54,79,79
BHR,1983,59,83,83
BHR,1984,65,86,86
BHR,1985,78,90,90
BHR,1986,78,92,92
BHR,1987,78,95,95
BHR,1988,78,96,96
BHR,1989,85,96,96
BHR,1990,87,94,94
BHR,1991,88,99,99
BHR,1992,87,94,94
BHR,1993,90,94,94
BHR,1994,93,96,96
BHR,1995,95,95,95
BHR,1996,95,96,96
BHR,1997,94,98,98
BHR,1998,99,98,98
BHR,1999,94,97,97
BHR,2000,98,97,97
BHR,2001,98,99,99
BHR,2002,99,98,98
BHR,2003,99,97,97
BHR,2004,99,98,98
BHR,2005,99,98,98
BHR,2006,99,98,98
