Code,Year,Life expectancy
AFG,1950,28.1563
AFG,1951,28.5836
AFG,1952,29.0138
AFG,1953,29.4521
AFG,1954,29.6975
AFG,1955,30.366
AFG,1956,30.8303
AFG,1957,31.3451
AFG,1958,31.84
AFG,1959,32.3365
AFG,1960,32.7987
AFG,1961,33.291
AFG,1962,33.7565
AFG,1963,34.2008
AFG,1964,34.6726
AFG,1965,35.1245
AFG,1966,35.5831
AFG,1967,36.042
AFG,1968,36.5101
AFG,1969,36.979
AFG,1970,37.4601
AFG,1971,37.9324
AFG,1972,38.4226
AFG,1973,38.951
AFG,1974,39.4687
AFG,1975,39.9944
AFG,1976,40.5184
AFG,1977,41.0821
AFG,1978,40.0859
AFG,1979,38.8441
AFG,1980,39.2581
AFG,1981,39.4058
AFG,1982,36.0577
AFG,1983,36.5174
AFG,1984,31.4732
AFG,1985,32.1316
AFG,1986,38.4001
AFG,1987,38.8312
AFG,1988,43.2381
AFG,1989,44.4961
AFG,1990,45.1183
AFG,1991,45.5207
AFG,1992,46.5691
AFG,1993,51.0212
AFG,1994,50.9689
AFG,1995,52.1032
AFG,1996,52.8302
AFG,1997,53.2123
AFG,1998,52.487
AFG,1999,54.5324
AFG,2000,55.0047
AFG,2001,55.5113
AFG,2002,56.2251
AFG,2003,57.1713
AFG,2004,57.8098
AFG,2005,58.2468
AFG,2006,58.5533
AFG,2007,58.9563
AFG,2008,59.7081
AFG,2009,60.2478
AFG,2010,60.7018
AFG,2011,61.2503
AFG,2012,61.7349
AFG,2013,62.1878
AFG,2014,62.2599
AFG,2015,62.2695
AFG,2016,62.6459
AFG,2017,62.4062
AFG,2018,62.4434
AFG,2019,62.9411
AFG,2020,61.4537
AFG,2021,60.4174
AFG,2022,65.617
AFG,2023,66.0346
,1770,26.4
,1925,26.4
,1950,37.2455
,1951,37.7751
,1952,38.2546
,1953,38.7309
,1954,39.0876
,1955,39.5474
,1956,39.9762
,1957,39.8561
,1958,40.2405
,1959,41.194
,1960,41.3961
,1961,41.7756
,1962,42.2531
,1963,42.7175
,1964,43.0898
,1965,43.3551
,1966,43.4601
,1967,43.7471
,1968,44.2523
,1969,44.5077
,1970,44.9859
,1971,45.3999
,1972,45.4595
,1973,46.101
,1974,46.4118
,1975,46.807
,1976,47.5487
,1977,48.0406
,1978,48.4287
,1979,48.9562
,1980,49.4094
,1981,49.8226
,1982,50.2133
,1983,49.5464
,1984,49.7402
,1985,50.1332
,1986,50.5889
,1987,51.1887
,1988,51.0598
,1989,51.7063
,1990,51.6566
,1991,51.4937
,1992,51.4261
,1993,51.8296
,1994,49.9595
,1995,52.3426
,1996,52.3704
,1997,52.5837
,1998,52.3988
,1999,53.0619
,2000,53.667
,2001,54.006
,2002,54.3921
,2003,54.8416
,2004,55.3428
,2005,55.8494
,2006,56.4629
,2007,57.0818
,2008,57.6655
,2009,57.7517
,2010,58.7703
,2011,58.9598
,2012,59.8046
,2013,60.2673
,2014,60.4728
,2015,60.8437
,2016,61.2078
,2017,61.514
,2018,62.1674
,2019,62.449
,2020,62.2572
,2021,61.7866
,2022,62.9205
,2023,63.8428
ALB,1950,44.5214
ALB,1951,45.2742
ALB,1952,46.281
ALB,1953,47.3686
ALB,1954,48.4165
ALB,1955,49.5754
ALB,1956,50.8468
ALB,1957,52.257
ALB,1958,53.7357
ALB,1959,55.13
ALB,1960,56.4132
ALB,1961,57.488
ALB,1962,58.4944
ALB,1963,59.4792
ALB,1964,60.4035
ALB,1965,61.2735
ALB,1966,62.149
ALB,1967,62.976
ALB,1968,63.7876
ALB,1969,64.5384
ALB,1970,65.2343
ALB,1971,65.8959
ALB,1972,66.5263
ALB,1973,67.1066
ALB,1974,67.6334
ALB,1975,68.1198
ALB,1976,68.5695
ALB,1977,68.9918
ALB,1978,69.3665
ALB,1979,69.6169
ALB,1980,69.903
ALB,1981,70.1446
ALB,1982,70.4249
ALB,1983,70.7051
ALB,1984,70.9838
ALB,1985,71.2816
ALB,1986,71.6651
ALB,1987,71.9814
ALB,1988,72.2167
ALB,1989,72.4573
ALB,1990,72.7096
ALB,1991,73.0011
ALB,1992,73.303
ALB,1993,73.6377
ALB,1994,73.8367
ALB,1995,74.0218
ALB,1996,74.1134
ALB,1997,73.3832
ALB,1998,74.3572
ALB,1999,74.5684
ALB,2000,74.8262
ALB,2001,75.083
ALB,2002,75.2987
ALB,2003,75.5566
ALB,2004,75.9515
ALB,2005,76.4266
ALB,2006,76.9943
ALB,2007,77.6907
ALB,2008,78.2484
ALB,2009,78.5088
ALB,2010,78.4141
ALB,2011,78.3029
ALB,2012,78.0836
ALB,2013,77.9951
ALB,2014,78.0291
ALB,2015,78.358
ALB,2016,78.6433
ALB,2017,78.9003
ALB,2018,79.2377
ALB,2019,79.4669
ALB,2020,77.8241
ALB,2021,76.8442
ALB,2022,78.7688
ALB,2023,79.6019
DZA,1923,28.822
DZA,1933,31.22
DZA,1943,33.72
DZA,1950,42.6787
DZA,1951,43.3012
DZA,1952,43.4651
DZA,1953,43.6004
DZA,1954,40.6404
DZA,1955,40.8697
DZA,1956,40.9093
DZA,1957,40.9191
DZA,1958,40.9028
DZA,1959,40.8828
DZA,1960,40.8388
DZA,1961,40.7916
DZA,1962,39.5266
DZA,1963,43.1431
DZA,1964,42.9867
DZA,1965,42.8455
DZA,1966,42.7454
DZA,1967,42.7307
DZA,1968,42.806
DZA,1969,42.991
DZA,1970,43.328
DZA,1971,43.7823
DZA,1972,44.384
DZA,1973,45.1016
DZA,1974,45.9531
DZA,1975,46.9211
DZA,1976,48.0338
DZA,1977,49.2492
DZA,1978,50.6152
DZA,1979,52.409
DZA,1980,54.5124
DZA,1981,57.4223
DZA,1982,59.5944
DZA,1983,61.2511
DZA,1984,62.7219
DZA,1985,64.155
DZA,1986,65.2728
DZA,1987,66.13
DZA,1988,66.9097
DZA,1989,67.4609
DZA,1990,67.6584
DZA,1991,67.6919
DZA,1992,67.7245
DZA,1993,67.7974
DZA,1994,67.2844
DZA,1995,67.6914
DZA,1996,68.2186
DZA,1997,68.8594
DZA,1998,69.3271
DZA,1999,70.0881
DZA,2000,70.5759
DZA,2001,71.0245
DZA,2002,71.6437
DZA,2003,71.9064
DZA,2004,72.5359
DZA,2005,72.836
DZA,2006,73.1164
DZA,2007,73.346
DZA,2008,73.6181
DZA,2009,73.8711
DZA,2010,74.1435
DZA,2011,74.3834
DZA,2012,74.6086
DZA,2013,74.8095
DZA,2014,74.9923
DZA,2015,75.1589
DZA,2016,75.3099
DZA,2017,75.4313
DZA,2018,75.5554
DZA,2019,75.6818
DZA,2020,73.2568
DZA,2021,75.2077
DZA,2022,76.1289
DZA,2023,76.261
ASM,1950,59.1675
ASM,1951,59.6538
ASM,1952,60.2294
ASM,1953,60.7987
ASM,1954,61.3128
ASM,1955,61.8271
ASM,1956,62.3378
ASM,1957,62.8835
ASM,1958,63.5517
ASM,1959,64.3203
ASM,1960,65.0534
ASM,1961,65.6476
ASM,1962,66.0077
ASM,1963,66.1611
ASM,1964,66.1349
ASM,1965,65.9962
ASM,1966,58.2839
