Code,Year,Political regime
AFG,1789,0
AFG,1790,0
AFG,1791,0
AFG,1792,0
AFG,1793,0
AFG,1794,0
AFG,1795,0
AFG,1796,0
AFG,1797,0
AFG,1798,0
AFG,1799,0
AFG,1800,0
AFG,1801,0
AFG,1802,0
AFG,1803,0
AFG,1804,0
AFG,1805,0
AFG,1806,0
AFG,1807,0
AFG,1808,0
AFG,1809,0
AFG,1810,0
AFG,1811,0
AFG,1812,0
AFG,1813,0
AFG,1814,0
AFG,1815,0
AFG,1816,0
AFG,1817,0
AFG,1818,0
AFG,1819,0
AFG,1820,0
AFG,1821,0
AFG,1822,0
AFG,1823,0
AFG,1824,0
AFG,1825,0
AFG,1826,0
AFG,1827,0
AFG,1828,0
AFG,1829,0
AFG,1830,0
AFG,1831,0
AFG,1832,0
AFG,1833,0
AFG,1834,0
AFG,1835,0
AFG,1836,0
AFG,1837,0
AFG,1838,0
AFG,1839,0
AFG,1840,0
AFG,1841,0
AFG,1842,0
AFG,1843,0
AFG,1844,0
AFG,1845,0
AFG,1846,0
AFG,1847,0
AFG,1848,0
AFG,1849,0
AFG,1850,0
AFG,1851,0
AFG,1852,0
AFG,1853,0
AFG,1854,0
AFG,1855,0
AFG,1856,0
AFG,1857,0
AFG,1858,0
AFG,1859,0
AFG,1860,0
AFG,1861,0
AFG,1862,0
AFG,1863,0
AFG,1864,0
AFG,1865,0
AFG,1866,0
AFG,1867,0
AFG,1868,0
AFG,1869,0
AFG,1870,0
AFG,1871,0
AFG,1872,0
AFG,1873,0
AFG,1874,0
AFG,1875,0
AFG,1876,0
AFG,1877,0
AFG,1878,0
AFG,1879,0
AFG,1880,0
AFG,1881,0
AFG,1882,0
AFG,1883,0
AFG,1884,0
AFG,1885,0
AFG,1886,0
AFG,1887,0
AFG,1888,0
AFG,1889,0
AFG,1890,0
AFG,1891,0
AFG,1892,0
AFG,1893,0
AFG,1894,0
AFG,1895,0
AFG,1896,0
AFG,1897,0
AFG,1898,0
AFG,1899,0
AFG,1900,0
AFG,1901,0
AFG,1902,0
AFG,1903,0
AFG,1904,0
AFG,1905,0
AFG,1906,0
AFG,1907,0
AFG,1908,0
AFG,1909,0
AFG,1910,0
AFG,1911,0
AFG,1912,0
AFG,1913,0
AFG,1914,0
AFG,1915,0
AFG,1916,0
AFG,1917,0
AFG,1918,0
AFG,1919,0
AFG,1920,0
AFG,1921,0
AFG,1922,0
AFG,1923,0
AFG,1924,0
AFG,1925,0
AFG,1926,0
AFG,1927,0
AFG,1928,0
AFG,1929,0
AFG,1930,0
AFG,1931,0
AFG,1932,0
AFG,1933,0
AFG,1934,0
AFG,1935,0
AFG,1936,0
AFG,1937,0
AFG,1938,0
AFG,1939,0
AFG,1940,0
AFG,1941,0
AFG,1942,0
AFG,1943,0
AFG,1944,0
AFG,1945,0
AFG,1946,0
AFG,1947,0
AFG,1948,0
AFG,1949,0
AFG,1950,0
AFG,1951,0
AFG,1952,0
AFG,1953,0
AFG,1954,0
AFG,1955,0
AFG,1956,0
AFG,1957,0
AFG,1958,0
AFG,1959,0
AFG,1960,0
AFG,1961,0
AFG,1962,0
AFG,1963,0
AFG,1964,0
AFG,1965,0
AFG,1966,0
AFG,1967,0
AFG,1968,0
AFG,1969,0
AFG,1970,0
AFG,1971,0
AFG,1972,0
AFG,1973,0
AFG,1974,0
AFG,1975,0
AFG,1976,0
AFG,1977,0
AFG,1978,0
AFG,1979,0
AFG,1980,0
AFG,1981,0
AFG,1982,0
AFG,1983,0
AFG,1984,0
AFG,1985,0
AFG,1986,0
AFG,1987,0
AFG,1988,0
AFG,1989,0
AFG,1990,0
AFG,1991,0
AFG,1992,0
AFG,1993,0
AFG,1994,0
AFG,1995,0
AFG,1996,0
AFG,1997,0
AFG,1998,0
AFG,1999,0
AFG,2000,0
AFG,2001,0
AFG,2002,0
AFG,2003,0
AFG,2005,1
AFG,2006,1
AFG,2007,1
AFG,2008,1
AFG,2009,1
AFG,2010,1
AFG,2011,1
AFG,2012,1
AFG,2013,1
AFG,2014,1
AFG,2015,1
AFG,2016,1
AFG,2017,1
AFG,2018,1
AFG,2019,1
AFG,2020,1
AFG,2021,0
AFG,2022,0
AFG,2023,0
AFG,2024,0
AFG,2025,0
ALB,1914,0
ALB,1915,0
ALB,1916,0
ALB,1917,0
ALB,1918,0
ALB,1919,0
ALB,1920,0
ALB,1921,1
ALB,1922,1
ALB,1923,1
ALB,1924,1
ALB,1925,1
ALB,1926,1
ALB,1927,1
ALB,1928,1
ALB,1929,0
ALB,1930,0
ALB,1931,0
ALB,1932,1
ALB,1933,1
ALB,1934,1
ALB,1935,1
ALB,1936,1
ALB,1937,1
ALB,1938,0
ALB,1939,0
ALB,1940,0
ALB,1941,0
ALB,1942,0
ALB,1943,0
ALB,1944,0
ALB,1945,0
ALB,1946,1
ALB,1947,1
ALB,1948,1
ALB,1949,0
ALB,1950,0
ALB,1951,0
ALB,1952,0
ALB,1953,0
ALB,1954,0
ALB,1955,0
ALB,1956,0
ALB,1957,0
ALB,1958,0
ALB,1959,0
ALB,1960,0
ALB,1961,0
ALB,1962,0
ALB,1963,0
ALB,1964,0
ALB,1965,0
ALB,1966,0
ALB,1967,0
ALB,1968,0
ALB,1969,0
ALB,1970,0
ALB,1971,0
ALB,1972,0
ALB,1973,0
ALB,1974,0
ALB,1975,0
ALB,1976,0
ALB,1977,0
ALB,1978,0
ALB,1979,0
ALB,1980,0
ALB,1981,0
ALB,1982,0
ALB,1983,0
ALB,1984,0
ALB,1985,0
ALB,1986,0
ALB,1987,0
ALB,1988,0
ALB,1989,0
ALB,1990,0
ALB,1991,1
ALB,1992,1
ALB,1993,1
ALB,1994,1
ALB,1995,1
ALB,1996,1
ALB,1997,1
ALB,1998,1
ALB,1999,1
ALB,2000,1
ALB,2001,1
ALB,2002,1
ALB,2003,1
ALB,2004,1
ALB,2005,2
ALB,2006,2
ALB,2007,2
ALB,2008,2
ALB,2009,2
ALB,2010,2
ALB,2011,2
ALB,2012,2
ALB,2013,2
ALB,2014,2
ALB,2015,2
ALB,2016,2
ALB,2017,2
ALB,2018,2
ALB,2019,2
ALB,2020,2
ALB,2021,2
ALB,2022,2
ALB,2023,2
ALB,2024,2
ALB,2025,1
DZA,1900,0
DZA,1901,0
DZA,1902,0
DZA,1903,0
DZA,1904,0
DZA,1905,0
DZA,1906,0
DZA,1907,0
DZA,1908,0
DZA,1909,0
DZA,1910,0
DZA,1911,0
DZA,1912,0
DZA,1913,0
DZA,1914,0
DZA,1915,0
DZA,1916,0
DZA,1917,0
DZA,1918,0
DZA,1919,0
DZA,1920,0
DZA,1921,0
DZA,1922,0
DZA,1923,0
DZA,1924,0
DZA,1925,0
DZA,1926,0
DZA,1927,0
DZA,1928,0
DZA,1929,0
DZA,1930,0
DZA,1931,0
DZA,1932,0
DZA,1933,0
DZA,1934,0
DZA,1935,0
DZA,1936,0
DZA,1937,0
DZA,1938,0
DZA,1939,0
DZA,1940,0
DZA,1941,0
DZA,1942,0
DZA,1943,0
DZA,1944,0
DZA,1945,0
DZA,1946,0
DZA,1947,0
DZA,1948,0
DZA,1949,0
DZA,1950,0
DZA,1951,0
DZA,1952,0
DZA,1953,0
DZA,1954,0
DZA,1955,0
DZA,1956,0
DZA,1957,0
DZA,1958,0
DZA,1959,0
DZA,1960,0
DZA,1961,0
DZA,1962,1
DZA,1963,1
DZA,1964,1
DZA,1965,0
DZA,1966,0
DZA,1967,0
DZA,1968,0
DZA,1969,0
DZA,1970,0
DZA,1971,0
DZA,1972,0
DZA,1973,0
DZA,1974,0
DZA,1975,0
DZA,1976,0
DZA,1977,0
DZA,1978,0
DZA,1979,0
DZA,1980,0
DZA,1981,0
DZA,1982,0
DZA,1983,0
DZA,1984,0
DZA,1985,0
DZA,1986,0
DZA,1987,0
DZA,1988,0
DZA,1989,0
DZA,1990,0
DZA,1991,0
DZA,1992,0
DZA,1993,0
DZA,1994,0
DZA,1996,1
DZA,1997,1
DZA,1998,1
DZA,1999,1
DZA,2000,1
DZA,2001,1
DZA,2002,1
DZA,2003,1
DZA,2004,1
DZA,2005,1
DZA,2006,1
DZA,2007,1
DZA,2008,1
DZA,2009,1
DZA,2010,1
DZA,2011,1
DZA,2012,1
DZA,2013,1
DZA,2014,1
DZA,2015,1
DZA,2016,1
DZA,2017,1
DZA,2018,1
DZA,2019,1
DZA,2020,1
DZA,2021,1
DZA,2022,1
DZA,2023,1
DZA,2024,1
DZA,2025,1
AGO,1900,0
AGO,1901,0
AGO,1902,0
AGO,1903,0
AGO,1904,0
AGO,1905,0
AGO,1906,0
AGO,1907,0
AGO,1908,0
AGO,1909,0
AGO,1910,0
AGO,1911,0
AGO,1912,0
AGO,1913,0
AGO,1914,0
AGO,1915,0
AGO,1916,0
AGO,1917,0
AGO,1918,0
AGO,1919,0
AGO,1920,0
AGO,1921,0
AGO,1922,0
AGO,1923,0
AGO,1924,0
AGO,1925,0
AGO,1926,0
AGO,1927,0
AGO,1928,0
AGO,1929,0
AGO,1930,0
AGO,1931,0
AGO,1932,0
AGO,1933,0
AGO,1934,0
AGO,1935,0
AGO,1936,0
AGO,1937,0
AGO,1938,0
AGO,1939,0
AGO,1940,0
AGO,1941,0
AGO,1942,0
AGO,1943,0
AGO,1944,0
AGO,1945,0
AGO,1946,0
AGO,1947,0
AGO,1948,0
AGO,1949,0
AGO,1950,0
AGO,1951,0
AGO,1952,0
AGO,1953,0
AGO,1954,0
AGO,1955,0
AGO,1956,0
AGO,1957,0
AGO,1958,0
AGO,1959,0
AGO,1960,0
AGO,1961,0
AGO,1962,0
AGO,1963,0
AGO,1964,0
AGO,1965,0
AGO,1966,0
AGO,1967,0
AGO,1968,0
AGO,1969,0
AGO,1970,0
AGO,1971,0
AGO,1972,0
AGO,1973,0
AGO,1974,0
AGO,1975,0
AGO,1976,0
AGO,1977,0
AGO,1978,0
AGO,1979,0
AGO,1980,0
AGO,1981,0
AGO,1982,0
AGO,1983,0
AGO,1984,0
AGO,1985,0
AGO,1986,0
AGO,1987,0
AGO,1988,0
AGO,1989,0
AGO,1990,0
AGO,1991,0
AGO,1992,0
AGO,1993,0
AGO,1994,0
AGO,1995,0
AGO,1996,0
AGO,1997,0
AGO,1998,0
AGO,1999,0
AGO,2000,0
AGO,2001,0
AGO,2002,0
AGO,2003,0
AGO,2004,0
AGO,2005,0
AGO,2006,0
AGO,2007,0
AGO,2008,0
AGO,2009,0
AGO,2010,1
AGO,2011,1
AGO,2012,1
AGO,2013,1
AGO,2014,1
AGO,2015,1
AGO,2016,1
AGO,2017,1
AGO,2018,1
AGO,2019,1
AGO,2020,1
AGO,2021,1
AGO,2022,1
AGO,2023,1
AGO,2024,1
AGO,2025,1
ARG,1789,0
ARG,1790,0
ARG,1791,0
ARG,1792,0
ARG,1793,0
ARG,1794,0
ARG,1795,0
ARG,1796,0
ARG,1797,0
ARG,1798,0
ARG,1799,0
ARG,1800,0
ARG,1801,0
ARG,1802,0
ARG,1803,0
ARG,1804,0
ARG,1805,0
ARG,1806,0
ARG,1807,0
ARG,1808,0
ARG,1809,0
ARG,1810,0
ARG,1811,0
ARG,1812,0
ARG,1813,0
ARG,1814,0
ARG,1815,0
ARG,1816,0
ARG,1817,0
ARG,1818,0
ARG,1819,0
ARG,1820,0
ARG,1821,0
ARG,1822,0
ARG,1823,0
ARG,1824,0
ARG,1825,0
ARG,1826,0
ARG,1827,0
ARG,1828,0
ARG,1829,0
ARG,1830,0
ARG,1831,0
ARG,1832,0
ARG,1833,0
ARG,1834,0
ARG,1835,0
ARG,1836,0
ARG,1837,0
ARG,1838,0
ARG,1839,0
ARG,1840,0
ARG,1841,0
ARG,1842,0
ARG,1843,0
ARG,1844,0
ARG,1845,0
ARG,1846,0
ARG,1847,0
ARG,1848,0
ARG,1849,0
ARG,1850,0
ARG,1851,0
ARG,1852,0
ARG,1853,0
ARG,1854,0
ARG,1855,0
ARG,1856,0
ARG,1857,0
ARG,1858,0
ARG,1859,1
ARG,1860,1
ARG,1861,1
ARG,1862,1
ARG,1863,1
ARG,1864,1
ARG,1865,1
ARG,1866,1
ARG,1867,1
ARG,1868,1
ARG,1869,1
ARG,1870,1
ARG,1871,1
ARG,1872,1
ARG,1873,1
ARG,1874,1
ARG,1875,1
ARG,1876,1
ARG,1877,1
ARG,1878,1
ARG,1879,1
ARG,1880,1
ARG,1881,1
ARG,1882,1
ARG,1883,1
ARG,1884,1
ARG,1885,1
ARG,1886,1
ARG,1887,1
ARG,1888,1
ARG,1889,1
ARG,1890,1
ARG,1891,1
ARG,1892,1
ARG,1893,1
ARG,1894,1
ARG,1895,1
ARG,1896,1
ARG,1897,1
ARG,1898,1
ARG,1899,1
ARG,1900,1
ARG,1901,1
ARG,1902,1
ARG,1903,1
ARG,1904,1
ARG,1905,1
ARG,1906,1
ARG,1907,1
ARG,1908,1
ARG,1909,1
ARG,1910,1
ARG,1911,1
ARG,1912,1
ARG,1913,1
ARG,1914,1
ARG,1915,1
ARG,1916,1
ARG,1917,1
ARG,1918,1
ARG,1919,1
ARG,1920,1
ARG,1921,1
ARG,1922,1
ARG,1923,1
ARG,1924,1
ARG,1925,1
ARG,1926,1
ARG,1927,1
ARG,1928,1
ARG,1929,1
ARG,1930,1
ARG,1931,1
ARG,1932,1
ARG,1933,1
ARG,1934,1
ARG,1935,1
ARG,1936,1
ARG,1937,1
