Code,Year,"Population, total"
AFG,1950,7776180
AFG,1951,7879343
AFG,1952,7987784
AFG,1953,8096703
AFG,1954,8207954
AFG,1955,8326981
AFG,1956,8454303
AFG,1957,8588340
AFG,1958,8723412
AFG,1959,8869270
AFG,1960,9035048
AFG,1961,9214082
AFG,1962,9404410
AFG,1963,9604491
AFG,1964,9814317
AFG,1965,10036003
AFG,1966,10266397
AFG,1967,10505961
AFG,1968,10756924
AFG,1969,11017417
AFG,1970,11290134
AFG,1971,11567672
AFG,1972,11853698
AFG,1973,12158000
AFG,1974,12469127
AFG,1975,12773966
AFG,1976,13059861
AFG,1977,13340758
AFG,1978,13611444
AFG,1979,13655575
AFG,1980,13169313
AFG,1981,11937586
AFG,1982,10991380
AFG,1983,10917985
AFG,1984,11190222
AFG,1985,11426855
AFG,1986,11420074
AFG,1987,11387822
AFG,1988,11523299
AFG,1989,11874089
AFG,1990,12045664
AFG,1991,12238879
AFG,1992,13278983
AFG,1993,14943175
AFG,1994,16250800
AFG,1995,17065837
AFG,1996,17763266
AFG,1997,18452100
AFG,1998,19159996
AFG,1999,19887792
AFG,2000,20130334
AFG,2001,20284303
AFG,2002,21378123
AFG,2003,22733053
AFG,2004,23560656
AFG,2005,24404575
AFG,2006,25424100
AFG,2007,25909852
AFG,2008,26482631
AFG,2009,27466102
AFG,2010,28284088
AFG,2011,29347708
AFG,2012,30560036
AFG,2013,31622709
AFG,2014,32792528
AFG,2015,33831767
AFG,2016,34700613
AFG,2017,35688941
AFG,2018,36743040
AFG,2019,37856125
AFG,2020,39068977
AFG,2021,40000410
AFG,2022,40578847
AFG,2023,41454762
AFG,2024,
AFG,2025,
AFG,2026,
AFG,2027,
AFG,2028,
AFG,2029,
AFG,2030,
AFG,2031,
AFG,2032,
AFG,2033,
AFG,2034,
AFG,2035,
AFG,2036,
AFG,2037,
AFG,2038,
AFG,2039,
AFG,2040,
AFG,2041,
AFG,2042,
AFG,2043,
AFG,2044,
AFG,2045,
AFG,2046,
AFG,2047,
AFG,2048,
AFG,2049,
AFG,2050,
AFG,2051,
AFG,2052,
AFG,2053,
AFG,2054,
AFG,2055,
AFG,2056,
AFG,2057,
AFG,2058,
AFG,2059,
AFG,2060,
AFG,2061,
AFG,2062,
AFG,2063,
AFG,2064,
AFG,2065,
AFG,2066,
AFG,2067,
AFG,2068,
AFG,2069,
AFG,2070,
AFG,2071,
AFG,2072,
AFG,2073,
AFG,2074,
AFG,2075,
AFG,2076,
AFG,2077,
AFG,2078,
AFG,2079,
AFG,2080,
AFG,2081,
AFG,2082,
AFG,2083,
AFG,2084,
AFG,2085,
AFG,2086,
AFG,2087,
AFG,2088,
AFG,2089,
AFG,2090,
AFG,2091,
AFG,2092,
AFG,2093,
AFG,2094,
AFG,2095,
AFG,2096,
AFG,2097,
AFG,2098,
AFG,2099,
AFG,2100,
OWID_AFR,1950,227776845
OWID_AFR,1951,232557376
OWID_AFR,1952,237539914
OWID_AFR,1953,242685418
OWID_AFR,1954,248006207
OWID_AFR,1955,253538237
OWID_AFR,1956,259271772
OWID_AFR,1957,265129067
OWID_AFR,1958,271042101
OWID_AFR,1959,277271953
OWID_AFR,1960,283922302
OWID_AFR,1961,290814091
OWID_AFR,1962,297959978
OWID_AFR,1963,305371377
OWID_AFR,1964,313060736
OWID_AFR,1965,321013552
OWID_AFR,1966,329252363
OWID_AFR,1967,337851076
OWID_AFR,1968,346800979
OWID_AFR,1969,356032564
OWID_AFR,1970,365552202
OWID_AFR,1971,375326477
OWID_AFR,1972,385312230
OWID_AFR,1973,395821980
OWID_AFR,1974,406870352
OWID_AFR,1975,418433496
OWID_AFR,1976,430496968
OWID_AFR,1977,442660483
OWID_AFR,1978,455539241
OWID_AFR,1979,469198441
OWID_AFR,1980,483051700
OWID_AFR,1981,497620995
OWID_AFR,1982,512958828
OWID_AFR,1983,528232702
OWID_AFR,1984,543638096
OWID_AFR,1985,559664038
OWID_AFR,1986,575967268
OWID_AFR,1987,592601295
OWID_AFR,1988,609387685
OWID_AFR,1989,626359188
OWID_AFR,1990,643775322
OWID_AFR,1991,661103795
OWID_AFR,1992,678558071
OWID_AFR,1993,696621732
OWID_AFR,1994,714502673
OWID_AFR,1995,732695472
OWID_AFR,1996,751473736
OWID_AFR,1997,770384697
OWID_AFR,1998,789981693
