Code,Year,Share of the population using at least basic sanitation
AFG,2000,22.298273
AFG,2001,22.309525
AFG,2002,23.734709
AFG,2003,25.160116
AFG,2004,26.592743
AFG,2005,28.032917
AFG,2006,29.473711
AFG,2007,30.875317
AFG,2008,32.27372
AFG,2009,33.66911
AFG,2010,35.06167
AFG,2011,36.451744
AFG,2012,37.839386
AFG,2013,39.224785
AFG,2014,40.608135
AFG,2015,41.98982
AFG,2016,43.369865
AFG,2017,44.750813
AFG,2018,46.133545
AFG,2019,47.51839
AFG,2020,48.90568
AFG,2021,50.29664
AFG,2022,51.69144
AFG,2023,53.09094
AFG,2024,54.4958
WHO_AFR,2000,24.978497
WHO_AFR,2001,25.335533
WHO_AFR,2002,25.760942
WHO_AFR,2003,26.21285
WHO_AFR,2004,26.680445
WHO_AFR,2005,27.190077
WHO_AFR,2006,27.721626
WHO_AFR,2007,28.254553
WHO_AFR,2008,28.806599
WHO_AFR,2009,29.375118
WHO_AFR,2010,29.95133
WHO_AFR,2011,30.26521
WHO_AFR,2012,30.84252
WHO_AFR,2013,31.435654
WHO_AFR,2014,32.046886
WHO_AFR,2015,32.67524
WHO_AFR,2016,33.281933
WHO_AFR,2017,33.930992
WHO_AFR,2018,34.503
WHO_AFR,2019,35.113365
WHO_AFR,2020,35.725323
WHO_AFR,2021,36.372128
WHO_AFR,2022,37.07093
WHO_AFR,2023,36.797215
WHO_AFR,2024,37.16871
ALB,2000,89.48867
ALB,2001,90.03095
ALB,2002,90.605515
ALB,2003,91.16545
ALB,2004,91.710655
ALB,2005,92.322975
ALB,2006,92.92141
ALB,2007,93.505745
ALB,2008,94.07581
ALB,2009,94.63116
ALB,2010,95.172165
ALB,2011,95.698494
ALB,2012,96.21027
ALB,2013,96.70656
ALB,2014,97.18802
ALB,2015,97.65497
ALB,2016,98.1079
ALB,2017,98.547295
ALB,2018,98.97365
ALB,2019,99.18307
ALB,2020,99.29879
ALB,2021,99.299034
ALB,2022,99.29927
ALB,2023,99.29949
ALB,2024,99.29971
DZA,2000,84.48083
DZA,2001,84.759926
DZA,2002,85.03281
DZA,2003,85.299164
DZA,2004,85.55907
DZA,2005,85.812256
DZA,2006,86.059135
