Code,Year,Share of the labor force employed in agriculture
AFG,1991,63.43
AFG,1992,63.65
AFG,1993,64.41
AFG,1994,64.44
AFG,1995,64.3
AFG,1996,64.68
AFG,1997,64.98
AFG,1998,65.2
AFG,1999,65.46
AFG,2000,65.84
AFG,2001,66.29
AFG,2002,64.42
AFG,2003,63.7
AFG,2004,63.27
AFG,2005,62.15
AFG,2006,61.28
AFG,2007,60.14
AFG,2008,59.29
AFG,2009,56.89
AFG,2010,54.58
AFG,2011,53.56
AFG,2012,51.4
AFG,2013,49.82
AFG,2014,48.41
AFG,2015,47.07
AFG,2016,45.81
AFG,2017,43.99
AFG,2018,43.13
AFG,2019,42.5
,1991,66.20197
,1992,66.18168
,1993,66.06512
,1994,65.98197
,1995,65.82908
,1996,65.61852
,1997,65.5606
,1998,65.52458
,1999,65.45542
,2000,65.7408
,2001,65.93811
,2002,66.154305
,2003,66.1179
,2004,65.86053
,2005,65.87852
,2006,65.27195
,2007,64.7639
,2008,64.14392
,2009,63.86325
,2010,63.546383
,2011,62.92116
,2012,62.19353
,2013,61.855755
,2014,61.248016
,2015,60.739735
,2016,60.377964
,2017,59.9512
,2018,59.527874
,2019,59.19997
,1991,59.12681
,1992,59.030865
,1993,58.97454
,1994,58.84168
,1995,58.64951
,1996,58.358322
,1997,58.029167
,1998,57.67624
,1999,57.355335
,2000,56.97303
,2001,56.43532
,2002,55.70441
,2003,55.079296
,2004,54.38082
,2005,53.736336
,2006,53.1014
,2007,52.327724
,2008,51.4563
,2009,50.577896
,2010,49.60382
,2011,48.66133
,2012,47.557747
,2013,46.49208
,2014,45.196457
,2015,44.05116
,2016,43.72226
,2017,42.992603
,2018,42.321785
,2019,41.658943
ALB,1991,57.91
ALB,1992,58.11
ALB,1993,57.62
ALB,1994,57.08
ALB,1995,56.36
ALB,1996,55.94
ALB,1997,56.06
ALB,1998,55.25
ALB,1999,54.03
ALB,2000,52.82
ALB,2001,51.31
ALB,2002,50.16
ALB,2003,49.27
ALB,2004,48.34
ALB,2005,47.38
ALB,2006,46.3
ALB,2007,45.55
ALB,2008,44.66
ALB,2009,44.05
ALB,2010,42.08
ALB,2011,45.39
ALB,2012,46
ALB,2013,44.2
ALB,2014,42.26
ALB,2015,41.28
ALB,2016,40.04
ALB,2017,38.08
ALB,2018,37.29
ALB,2019,36.42
DZA,1991,24.88
DZA,1992,24.73
DZA,1993,24.56
DZA,1994,24.36
DZA,1995,24.13
DZA,1996,23.87
DZA,1997,23.54
DZA,1998,23.18
DZA,1999,22.85
DZA,2000,22.34
DZA,2001,21.71
DZA,2002,21.72
DZA,2003,21.72
DZA,2004,20.1
DZA,2005,18.54
DZA,2006,17.06
DZA,2007,15.63
DZA,2008,14.33
DZA,2009,13.03
DZA,2010,11.87
DZA,2011,10.77
DZA,2012,10.69
DZA,2013,10.59
DZA,2014,10.49
DZA,2015,10.38
DZA,2016,10.28
DZA,2017,10.16
DZA,2018,9.88
DZA,2019,9.6
AGO,1991,39.83
AGO,1992,39.9
AGO,1993,40.21
AGO,1994,40.09
AGO,1995,39.56
AGO,1996,38.98
AGO,1997,38.54
AGO,1998,38.16
AGO,1999,37.86
AGO,2000,37.5
AGO,2001,37.22
AGO,2002,36.56
AGO,2003,36.45
AGO,2004,36.17
AGO,2005,38.11
AGO,2006,40.21
AGO,2007,42.21
AGO,2008,44.37
AGO,2009,46.51
AGO,2010,48.88
AGO,2011,51.22
AGO,2012,51.23
AGO,2013,51.18
AGO,2014,51.14
AGO,2015,51.16
AGO,2016,51.15
AGO,2017,50.99
AGO,2018,50.91
AGO,2019,50.73
,1991,34.828995
,1992,35.194935
,1993,34.32921
,1994,34.068848
,1995,33.128136
,1996,32.504658
,1997,31.89319
,1998,31.176111
,1999,30.5781
,2000,30.75602
,2001,29.944132
,2002,29.121052
,2003,29.135607
,2004,29.12759
,2005,28.15331
,2006,27.323198
,2007,26.690508
,2008,25.810495
,2009,24.654997
,2010,23.48975
,2011,23.098604
,2012,22.298372
,2013,22.134605
,2014,21.902847
,2015,21.239435
,2016,20.774422
,2017,20.260588
,2018,19.175528
,2019,18.673616
ARG,1991,0.34
ARG,1992,0.4
ARG,1993,0.45
ARG,1994,0.45
ARG,1995,0.62
ARG,1996,0.76
ARG,1997,0.8
ARG,1998,0.76
ARG,1999,0.74
ARG,2000,0.67
ARG,2001,0.83
ARG,2002,0.98
ARG,2003,1.4
ARG,2004,1.5
ARG,2005,1.28
ARG,2006,1.05
ARG,2007,1.12
ARG,2008,1.2
ARG,2009,1.23
ARG,2010,1.27
ARG,2011,0.64
ARG,2012,0.62
ARG,2013,0.62
ARG,2014,0.55
ARG,2015,0.26
ARG,2016,0.13
ARG,2017,0.06
ARG,2018,0.1
ARG,2019,0.06
ARM,1991,43.78
ARM,1992,44.36
ARM,1993,44.64
ARM,1994,44.69
ARM,1995,44.53
ARM,1996,44.33
ARM,1997,44.13
ARM,1998,43.76
ARM,1999,43.37
ARM,2000,42.91
ARM,2001,42.15
ARM,2002,41.26
ARM,2003,40.22
ARM,2004,39.41
ARM,2005,38.52
ARM,2006,37.46
ARM,2007,36.53
ARM,2008,37.8
ARM,2009,39.45
ARM,2010,38.6
ARM,2011,38.93
ARM,2012,37.25
ARM,2013,36.28
ARM,2014,34.83
ARM,2015,35.33
ARM,2016,33.6
ARM,2017,31.34
ARM,2018,25.78
ARM,2019,24.05
AUS,1991,5.36
AUS,1992,5.05
AUS,1993,5.12
AUS,1994,4.9
AUS,1995,4.78
AUS,1996,4.84
AUS,1997,4.91
AUS,1998,4.85
AUS,1999,4.93
AUS,2000,4.86
AUS,2001,4.75
AUS,2002,4.38
AUS,2003,3.91
AUS,2004,3.74
AUS,2005,3.58
AUS,2006,3.41
AUS,2007,3.32
AUS,2008,3.31
AUS,2009,3.23
AUS,2010,3.23
AUS,2011,2.82
AUS,2012,2.8
AUS,2013,2.62
AUS,2014,2.8
AUS,2015,2.64
AUS,2016,2.62
AUS,2017,2.6
AUS,2018,2.62
AUS,2019,2.56
AUT,1991,7.78
AUT,1992,7.62
AUT,1993,7.41
AUT,1994,7.2
AUT,1995,7.34
AUT,1996,7.43
AUT,1997,6.89
AUT,1998,6.49
AUT,1999,6.23
AUT,2000,6.05
AUT,2001,5.81
AUT,2002,5.76
AUT,2003,5.5
AUT,2004,4.9
AUT,2005,5.27
AUT,2006,5.24
AUT,2007,5.53
AUT,2008,5.25
AUT,2009,5.32
AUT,2010,5.21
AUT,2011,4.94
AUT,2012,4.68
AUT,2013,4.58
AUT,2014,4.84
AUT,2015,4.53
AUT,2016,4.35
AUT,2017,3.93
AUT,2018,3.69
AUT,2019,3.66
AZE,1991,40.87
AZE,1992,41.41
AZE,1993,41.32
AZE,1994,42.2
AZE,1995,43.31
AZE,1996,43.35
AZE,1997,42.92
AZE,1998,42.3
AZE,1999,42.31
AZE,2000,41.01
AZE,2001,39.95
AZE,2002,40.19
AZE,2003,39.89
AZE,2004,39.54
AZE,2005,39.32
AZE,2006,39.55
AZE,2007,38.55
AZE,2008,39.59
AZE,2009,38.12
AZE,2010,38.23
AZE,2011,37.88
AZE,2012,37.65
AZE,2013,37.1
AZE,2014,36.75
AZE,2015,36.36
AZE,2016,36.34
AZE,2017,36.35
AZE,2018,36.26
AZE,2019,36
BHS,1991,5.25
BHS,1992,5.25
BHS,1993,5.46
BHS,1994,5.43
BHS,1995,4.34
BHS,1996,5
BHS,1997,3.84
BHS,1998,3.53
BHS,1999,4.03
BHS,2000,4.11
BHS,2001,4.2
BHS,2002,3.71
BHS,2003,3
BHS,2004,4.43
BHS,2005,3.49
BHS,2006,2.5
BHS,2007,2.31
BHS,2008,2.93
BHS,2009,2.88
BHS,2010,2.71
BHS,2011,2.65
BHS,2012,2.62
BHS,2013,2.57
BHS,2014,2.49
BHS,2015,2.44
BHS,2016,2.38
BHS,2017,2.33
BHS,2018,2.26
BHS,2019,2.2
BHR,1991,2.43
BHR,1992,2.34
BHR,1993,2.24
BHR,1994,2.14
BHR,1995,2.05
BHR,1996,1.97
BHR,1997,1.88
BHR,1998,1.8
BHR,1999,1.72
BHR,2000,1.65
BHR,2001,1.57
BHR,2002,1.52
BHR,2003,1.47
BHR,2004,1.41
BHR,2005,1.35
BHR,2006,1.29
BHR,2007,1.24
BHR,2008,1.18
BHR,2009,1.14
BHR,2010,1.08
BHR,2011,1.09
BHR,2012,1.09
BHR,2013,1.09
BHR,2014,1.08
BHR,2015,1.08
BHR,2016,1.04
BHR,2017,1.01
BHR,2018,0.97
BHR,2019,0.94
BGD,1991,69.51
BGD,1992,68.9
BGD,1993,68.12
BGD,1994,67.22
BGD,1995,66.03
BGD,1996,64.63
BGD,1997,64.86
BGD,1998,64.93
BGD,1999,64.94
BGD,2000,64.81
BGD,2001,62.39
BGD,2002,59.9
BGD,2003,57.19
BGD,2004,54.3
BGD,2005,51.17
BGD,2006,48.08
BGD,2007,47.85
BGD,2008,47.67
BGD,2009,47.53
BGD,2010,47.31
BGD,2011,46.55
BGD,2012,45.76
BGD,2013,45.01
BGD,2014,44.27
BGD,2015,43.46
BGD,2016,42.66
BGD,2017,40.6
BGD,2018,39.39
BGD,2019,38.3
BRB,1991,5.52
BRB,1992,6.24
BRB,1993,5.56
BRB,1994,5.31
BRB,1995,4.64
BRB,1996,5.27
BRB,1997,4.83
BRB,1998,4.44
BRB,1999,4.31
BRB,2000,4.23
BRB,2001,4.2
BRB,2002,4.04
BRB,2003,4.56
BRB,2004,3.41
BRB,2005,3.52
BRB,2006,3.61
BRB,2007,3.01
BRB,2008,2.78
BRB,2009,2.94
BRB,2010,2.84
BRB,2011,3.27
BRB,2012,2.78
BRB,2013,2.71
BRB,2014,2.72
BRB,2015,2.89
BRB,2016,2.86
BRB,2017,2.76
BRB,2018,2.7
BRB,2019,2.65
BLR,1991,15.1
BLR,1992,15.43
BLR,1993,15.52
BLR,1994,15.68
BLR,1995,15.89
BLR,1996,15.88
BLR,1997,15.69
BLR,1998,15.51
BLR,1999,15.38
BLR,2000,15.12
BLR,2001,14.72
BLR,2002,14.41
BLR,2003,13.97
BLR,2004,13.5
BLR,2005,12.99
BLR,2006,12.54
BLR,2007,12.07
BLR,2008,11.63
BLR,2009,11.35
BLR,2010,10.89
BLR,2011,10.59
BLR,2012,10.31
BLR,2013,10.14
BLR,2014,9.89
BLR,2015,9.7
BLR,2016,9.73
BLR,2017,10.7
BLR,2018,11.31
BLR,2019,11.06
BEL,1991,3
BEL,1992,2.9
BEL,1993,2.63
BEL,1994,2.89
BEL,1995,2.68
BEL,1996,2.75
BEL,1997,2.66
BEL,1998,2.24
BEL,1999,2.39
BEL,2000,1.91
BEL,2001,1.38
BEL,2002,1.79
BEL,2003,1.72
BEL,2004,2.22
BEL,2005,2.04
BEL,2006,1.95
BEL,2007,1.86
BEL,2008,1.55
BEL,2009,1.49
BEL,2010,1.35
BEL,2011,1.3
BEL,2012,1.17
BEL,2013,1.36
BEL,2014,1.22
BEL,2015,1.18
BEL,2016,1.25
BEL,2017,1.16
BEL,2018,0.99
BEL,2019,0.92
BLZ,1991,24.31
BLZ,1992,24.17
BLZ,1993,23.94
BLZ,1994,23.11
BLZ,1995,27.15
BLZ,1996,28.68
BLZ,1997,29.91
BLZ,1998,25.02
BLZ,1999,27.47
BLZ,2000,26.01
BLZ,2001,24.67
BLZ,2002,23.34
BLZ,2003,22
BLZ,2004,20.78
BLZ,2005,19.56
BLZ,2006,19.42
BLZ,2007,19.31
BLZ,2008,19.13
BLZ,2009,19.04
BLZ,2010,18.91
BLZ,2011,18.79
BLZ,2012,18.62
BLZ,2013,18.46
BLZ,2014,18.25
BLZ,2015,18.08
BLZ,2016,18.56
BLZ,2017,17.42
BLZ,2018,17.01
BLZ,2019,16.8
BEN,1991,50.9
