Code,Year,Share of the population with access to electricity
AFG,2000,4.4
AFG,2001,9.3
AFG,2002,14.1
AFG,2003,19
AFG,2004,23.8
AFG,2005,28.7
AFG,2006,33.5
AFG,2007,38.4
AFG,2008,42.4
AFG,2009,48.3
AFG,2010,42.7
AFG,2011,43.2
AFG,2012,69.1
AFG,2013,68
AFG,2014,89.5
AFG,2015,71.5
AFG,2016,97.7
AFG,2017,97.7
AFG,2018,93.4
AFG,2019,97.7
AFG,2020,97.7
AFG,2021,97.7
AFG,2022,85.3
AFG,2023,85.3
ALB,1990,100
ALB,1991,100
ALB,1992,100
ALB,1993,100
ALB,1994,100
ALB,1995,100
ALB,1996,100
ALB,1997,100
ALB,1998,100
ALB,1999,100
ALB,2000,99.4
ALB,2001,99.4
ALB,2002,99.4
ALB,2003,99.4
ALB,2004,99.4
ALB,2005,99.4
ALB,2006,99.4
ALB,2007,99.4
ALB,2008,100
ALB,2009,99.6
ALB,2010,99.6
ALB,2011,99.7
ALB,2012,99.9
ALB,2013,99.9
ALB,2014,100
ALB,2015,100
ALB,2016,99.9
ALB,2017,99.9
ALB,2018,100
ALB,2019,100
ALB,2020,100
ALB,2021,100
ALB,2022,100
ALB,2023,100
DZA,2000,98.6
DZA,2001,98.6
DZA,2002,98.6
DZA,2003,98.6
DZA,2004,98.6
DZA,2005,98.6
DZA,2006,98.7
DZA,2007,98.7
DZA,2008,99.3
DZA,2009,98.8
DZA,2010,98.9
DZA,2011,99
DZA,2012,98.8
DZA,2013,99.2
DZA,2014,99.3
DZA,2015,99.4
DZA,2016,99.4
DZA,2017,99.5
DZA,2018,99.6
DZA,2019,99.5
DZA,2020,99.7
DZA,2021,99.8
DZA,2022,100
DZA,2023,100
AND,1990,100
AND,1991,100
AND,1992,100
AND,1993,100
AND,1994,100
AND,1995,100
AND,1996,100
AND,1997,100
AND,1998,100
AND,1999,100
AND,2000,100
AND,2001,100
AND,2002,100
AND,2003,100
AND,2004,100
AND,2005,100
AND,2006,100
AND,2007,100
AND,2008,100
AND,2009,100
AND,2010,100
AND,2011,100
AND,2012,100
AND,2013,100
AND,2014,100
AND,2015,100
AND,2016,100
AND,2017,100
AND,2018,100
AND,2019,100
AND,2020,100
AND,2021,100
AND,2022,100
AND,2023,100
AGO,2000,24.2
AGO,2001,20
AGO,2002,26.3
AGO,2003,27.4
AGO,2004,28.4
AGO,2005,29.4
AGO,2006,30.5
AGO,2007,37.5
AGO,2008,38.5
AGO,2009,33.8
AGO,2010,35
AGO,2011,34.6
AGO,2012,37.3
AGO,2013,38.4
AGO,2014,32
AGO,2015,42
AGO,2016,41.8
AGO,2017,42.9
AGO,2018,45.3
AGO,2019,45.6
AGO,2020,47
AGO,2021,48.2
AGO,2022,48.5
AGO,2023,51.1
ATG,1990,95.76305
ATG,1991,95.94065
ATG,1992,96.11813
ATG,1993,96.294945
ATG,1994,96.47039
ATG,1995,96.6438
ATG,1996,96.81448
ATG,1997,96.98177
ATG,1998,97.14498
ATG,1999,97.30335
ATG,2000,97.7
ATG,2001,97.7
ATG,2002,100
ATG,2003,97.9
ATG,2004,97.9
ATG,2005,92.2
ATG,2006,100
ATG,2007,100
ATG,2008,100
ATG,2009,98.5
ATG,2010,98.7
ATG,2011,94.6
ATG,2012,100
ATG,2013,100
ATG,2014,100
ATG,2015,100
ATG,2016,100
ATG,2017,100
ATG,2018,100
ATG,2019,100
ATG,2020,100
ATG,2021,100
ATG,2022,100
ATG,2023,100
ARG,1990,92.1548
ARG,1991,92.49219
ARG,1992,92.82945
ARG,1993,93.166046
ARG,1994,93.501274
ARG,1995,93.834465
ARG,1996,94.16494
ARG,1997,94.49201
ARG,1998,94.815
ARG,1999,95.133156
ARG,2000,95.7
ARG,2001,95.5
ARG,2002,96.1
ARG,2003,96.3
ARG,2004,96.5
ARG,2005,96.7
ARG,2006,97
ARG,2007,97.2
ARG,2008,97.5
ARG,2009,97.8
ARG,2010,98.8
ARG,2011,99
ARG,2012,99.1
ARG,2013,99.3
ARG,2014,100
ARG,2015,99.7
ARG,2016,99.9
ARG,2017,100
ARG,2018,100
ARG,2019,100
ARG,2020,100
ARG,2021,100
ARG,2022,100
ARG,2023,100
ARM,2000,98.9
ARM,2001,100
ARM,2002,98
ARM,2003,99.1
ARM,2004,99.1
ARM,2005,99.8
ARM,2006,99.1
ARM,2007,99.2
ARM,2008,99.2
ARM,2009,99.3
ARM,2010,99.8
ARM,2011,99.5
ARM,2012,99.5
ARM,2013,99.4
ARM,2014,99.7
ARM,2015,100
ARM,2016,99.8
ARM,2017,99.7
ARM,2018,99.9
ARM,2019,100
ARM,2020,100
ARM,2021,100
ARM,2022,100
ARM,2023,100
ABW,1990,100
ABW,1991,99.153656
ABW,1992,99.19713
ABW,1993,99.239914
ABW,1994,100
ABW,1995,100
ABW,1996,100
ABW,1997,100
ABW,1998,100
ABW,1999,100
ABW,2000,91.7
ABW,2001,100
ABW,2002,100
ABW,2003,100
ABW,2004,100
ABW,2005,100
ABW,2006,100
ABW,2007,100
ABW,2008,100
ABW,2009,100
ABW,2010,93.4
ABW,2011,100
ABW,2012,100
ABW,2013,100
ABW,2014,100
ABW,2015,100
ABW,2016,100
ABW,2017,100
ABW,2018,100
ABW,2019,100
ABW,2020,100
ABW,2021,100
ABW,2022,99.9
ABW,2023,100
AUS,1990,100
AUS,1991,100
AUS,1992,100
AUS,1993,100
AUS,1994,100
AUS,1995,100
AUS,1996,100
AUS,1997,100
AUS,1998,100
AUS,1999,100
AUS,2000,100
AUS,2001,100
AUS,2002,100
AUS,2003,100
AUS,2004,100
AUS,2005,100
AUS,2006,100
AUS,2007,100
AUS,2008,100
AUS,2009,100
AUS,2010,100
AUS,2011,100
AUS,2012,100
AUS,2013,100
AUS,2014,100
AUS,2015,100
AUS,2016,100
AUS,2017,100
AUS,2018,100
AUS,2019,100
AUS,2020,100
AUS,2021,100
AUS,2022,100
AUS,2023,100
AUT,1990,100
AUT,1991,100
AUT,1992,100
AUT,1993,100
AUT,1994,100
AUT,1995,100
AUT,1996,100
AUT,1997,100
AUT,1998,100
AUT,1999,100
AUT,2000,100
AUT,2001,100
AUT,2002,100
AUT,2003,100
AUT,2004,100
AUT,2005,100
AUT,2006,100
AUT,2007,100
AUT,2008,100
AUT,2009,100
AUT,2010,100
AUT,2011,100
AUT,2012,100
AUT,2013,100
AUT,2014,100
AUT,2015,100
AUT,2016,100
AUT,2017,100
AUT,2018,100
AUT,2019,100
AUT,2020,100
AUT,2021,100
AUT,2022,100
AUT,2023,100
AZE,1999,97
AZE,2000,98.9
AZE,2001,98.6
AZE,2002,100
AZE,2003,98.8
AZE,2004,99
AZE,2005,99.1
AZE,2006,99.5
AZE,2007,99.5
AZE,2008,99.7
AZE,2009,99.9
AZE,2010,99.9
AZE,2011,99.9
AZE,2012,100
AZE,2013,100
AZE,2014,100
AZE,2015,100
AZE,2016,100
AZE,2017,100
AZE,2018,100
AZE,2019,100
AZE,2020,100
AZE,2021,100
AZE,2022,100
AZE,2023,100
BHS,1990,100
BHS,1991,100
BHS,1992,100
BHS,1993,100
BHS,1994,100
BHS,1995,100
BHS,1996,100
BHS,1997,100
BHS,1998,100
BHS,1999,100
BHS,2000,100
BHS,2001,100
BHS,2002,100
BHS,2003,100
BHS,2004,100
BHS,2005,100
BHS,2006,100
BHS,2007,100
BHS,2008,100
BHS,2009,100
BHS,2010,100
BHS,2011,100
BHS,2012,100
BHS,2013,100
BHS,2014,100
BHS,2015,100
BHS,2016,100
BHS,2017,100
BHS,2018,100
BHS,2019,100
BHS,2020,100
BHS,2021,100
BHS,2022,100
BHS,2023,100
BHR,1990,99.9414
BHR,1991,99.96739
BHR,1992,99.98718
BHR,1993,99.99714
BHR,1994,99.99977
BHR,1995,100
BHR,1996,100
BHR,1997,100
BHR,1998,100
BHR,1999,100
BHR,2000,100
BHR,2001,100
BHR,2002,100
BHR,2003,100
BHR,2004,100
BHR,2005,100
BHR,2006,100
BHR,2007,100
BHR,2008,100
BHR,2009,100
BHR,2010,100
BHR,2011,100
BHR,2012,100
BHR,2013,100
BHR,2014,100
BHR,2015,100
BHR,2016,100
BHR,2017,100
BHR,2018,100
BHR,2019,100
BHR,2020,100
BHR,2021,100
BHR,2022,100
BHR,2023,100
BGD,1991,14.29
BGD,1992,9.905419
BGD,1993,12.71788
BGD,1994,17.8
BGD,1995,18.338045
BGD,1996,21.144386
BGD,1997,22.4
BGD,1998,26.746193
BGD,1999,29.540215
BGD,2000,32
BGD,2001,35
