,,,corr,"mic,c_ksg,4","mic,c_ksg,6","mic,c_ksg,9","mic,c_ksg,13","mic,c_ksg,17","mic,c_ksg,22","mic,c_ksg,28","mic,c_ksg,35","mic,m_ross,4"
0,Life expectancy,CO2 emissions per capita,0.5925571627833723,0.9362908286870125,0.7855405686938558,0.6641361836709504,0.6145911014817234,0.5805041907143531,0.549435996766855,0.5173837782918658,0.4775283313436933,
0,Life expectancy,Daily calorie supply per person,0.760870251011178,0.3413469759306193,0.22938585295007036,0.1493407592524157,0.08043878794524867,0.03687694426462674,0.016756762072485942,0.0033146123735043123,-8.881784197001252e-16,
0,Life expectancy,GDP per capita,0.7089622728616568,0.09908921940543897,0.02706658563361871,0.007513137389397856,0.0,0.0,0.0,0.0,-8.881784197001252e-16,
0,Life expectancy,"Measles, first dose (MCV1)",0.6445261801673585,0.4810010965796885,0.43839676041659054,0.4194510392645763,0.3879172023955479,0.37421875512118963,0.3498629446382111,0.3265786698084143,0.290303626599577,
0,Life expectancy,Polio (Pol3),0.6974408581143963,0.4919408487768584,0.45152118930426427,0.4121498178378982,0.3776294697425465,0.3610226067518592,0.3576128884843504,0.33621448185027525,0.3273097143181642,
0,Life expectancy,Tetanus (DTP3),0.6970446669000531,0.4469105417790546,0.4140040540122066,0.4059339663953557,0.39742782214959893,0.3778862544755951,0.3570972026523197,0.3519122386414041,0.32904279107189865,
0,Life expectancy,Military expenditure (% of GDP),0.0672978001239745,0.1901184929501197,0.13265790230816782,0.09635927913970002,0.058097067571226464,0.043562623532221054,0.027090944391874313,0.01368695050169848,0.012068987840220344,
0,Life expectancy,Political regime,0.5523989426754116,,,,,,,,,0.3830890411962944
0,Life expectancy,"Population, total",0.03103689478688497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.881784197001252e-16,
0,Life expectancy,Share of the population using the Internet,0.6221272505467059,0.771413081493194,0.7306757920094809,0.7225003797567966,0.7073265146742441,0.6622097732740168,0.6141211454038692,0.5818597434895659,0.5344918789463114,
