,,,corr
0,Life expectancy,CO2 emissions per capita,0.5925571627833723
0,Life expectancy,Daily calorie supply per person,0.760870251011178
0,Life expectancy,GDP per capita,0.7089622728616568
0,Life expectancy,"Measles, first dose (MCV1)",0.6445261801673585
0,Life expectancy,Polio (Pol3),0.6974408581143963
0,Life expectancy,Tetanus (DTP3),0.6970446669000531
0,Life expectancy,Military expenditure (% of GDP),0.0672978001239745
0,Life expectancy,Political regime,0.5523989426754116
0,Life expectancy,"Population, total",0.03103689478688497
0,Life expectancy,Share of the population using the Internet,0.6221272505467059
0,Life expectancy,Share of the population using at least basic sanitation,0.8654384957772685
0,Life expectancy,Share of the labor force employed in agriculture,-0.7979765927801518
0,Life expectancy,Share of the population with access to electricity,0.8965050413964893
1,Life expectancy,CO2 emissions per capita,0.5881902294479977
1,Life expectancy,Daily calorie supply per person,0.7573787548554587
1,Life expectancy,GDP per capita,0.7064875921434283
1,Life expectancy,"Measles, first dose (MCV1)",0.6384922160613616
1,Life expectancy,Polio (Pol3),0.6634302307649441
1,Life expectancy,Tetanus (DTP3),0.6737705904041367
1,Life expectancy,Military expenditure (% of GDP),0.0746974118113048
1,Life expectancy,Political regime,0.5357724393526976
1,Life expectancy,"Population, total",0.0316967050324395
1,Life expectancy,Share of the population using the Internet,0.6560429984877646
1,Life expectancy,Share of the population using at least basic sanitation,0.8669329254631596
1,Life expectancy,Share of the labor force employed in agriculture,-0.7863827765360776
1,Life expectancy,Share of the population with access to electricity,0.8857581731955426
2,Life expectancy,CO2 emissions per capita,0.569214984028676
2,Life expectancy,Daily calorie supply per person,0.7562319419553893
2,Life expectancy,GDP per capita,0.7001847854856469
2,Life expectancy,"Measles, first dose (MCV1)",0.6317305858057529
2,Life expectancy,Polio (Pol3),0.6508927443388118
2,Life expectancy,Tetanus (DTP3),0.6547905605292798
2,Life expectancy,Military expenditure (% of GDP),0.07746114746038797
2,Life expectancy,Political regime,0.5087355283075631
2,Life expectancy,"Population, total",0.030032416719068564
2,Life expectancy,Share of the population using the Internet,0.6853230837670068
2,Life expectancy,Share of the population using at least basic sanitation,0.8643838764580476
2,Life expectancy,Share of the labor force employed in agriculture,-0.7837089543768418
2,Life expectancy,Share of the population with access to electricity,0.8747669403149056
3,Life expectancy,CO2 emissions per capita,0.5622768703572798
3,Life expectancy,Daily calorie supply per person,0.7634092939434793
3,Life expectancy,GDP per capita,0.7025230662271953
3,Life expectancy,"Measles, first dose (MCV1)",0.6301636947104319
3,Life expectancy,Polio (Pol3),0.6448545159580346
3,Life expectancy,Tetanus (DTP3),0.6461811451395117
3,Life expectancy,Military expenditure (% of GDP),0.08164984887105826
3,Life expectancy,Political regime,0.49610754317019307
3,Life expectancy,"Population, total",0.027485203852367048
3,Life expectancy,Share of the population using the Internet,0.7154487018059827
3,Life expectancy,Share of the population using at least basic sanitation,0.8685757450368031
3,Life expectancy,Share of the labor force employed in agriculture,-0.7850280486647486
3,Life expectancy,Share of the population with access to electricity,0.8687433404749025
4,Life expectancy,CO2 emissions per capita,0.5559567912741685
4,Life expectancy,Daily calorie supply per person,0.7701311341072443
4,Life expectancy,GDP per capita,0.7061572733323108
4,Life expectancy,"Measles, first dose (MCV1)",0.629347526345103
4,Life expectancy,Polio (Pol3),0.6422704229628289
4,Life expectancy,Tetanus (DTP3),0.6363100596477441
4,Life expectancy,Military expenditure (% of GDP),0.08042332326214278
4,Life expectancy,Political regime,0.4866434540373034
4,Life expectancy,"Population, total",0.026769086746680076
4,Life expectancy,Share of the population using the Internet,0.7333399230139911
4,Life expectancy,Share of the population using at least basic sanitation,0.8709774923458802
4,Life expectancy,Share of the labor force employed in agriculture,-0.7861373200594849
4,Life expectancy,Share of the population with access to electricity,0.8630757499618128
