CO2 emissions per capita,Daily calorie supply per person,GDP per capita,"Measles, first dose (MCV1)",Polio (Pol3),Tetanus (DTP3),Military expenditure (% of GDP),Political regime,"Population, total",Share of the population using the Internet,Share of the population using at least basic sanitation,Share of the labor force employed in agriculture,Share of the population with access to electricity,Life expectancy
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,t
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,2.0,2.0,2.0,t
1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,2.0,2.0,2.0,t
1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,2.0,2.0,2.0,t
1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,2.0,2.0,2.0,t
1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,2.0,2.0,2.0,t
1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,t
1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,2.0,2.0,2.0,t
1.0,2.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,2.0,2.0,2.0,t
1.0,2.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,2.0,2.0,2.0,t
1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,t
1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,2.0,2.0,2.0,t
1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,t
1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,-1.0,2.0,2.0,2.0,2.0,t
1.0,2.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,2.0,2.0,2.0,2.0,t
1.0,2.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,2.0,2.0,2.0,2.0,t
1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,2.0,2.0,2.0,2.0,t
1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,2.0,2.0,2.0,2.0,t
1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,t
1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,-1.0,2.0,2.0,2.0,2.0,t
1.0,2.0,-1.0,1.0,1.0,2.0,1.0,1.0,-1.0,2.0,2.0,2.0,2.0,t
1.0,2.0,-1.0,1.0,1.0,2.0,-1.0,1.0,-1.0,2.0,2.0,2.0,2.0,t
1.0,-1.0,-1.0,1.0,1.0,2.0,-1.0,1.0,-1.0,2.0,2.0,2.0,2.0,t
1.0,-1.0,-1.0,1.0,-1.0,2.0,-1.0,1.0,-1.0,2.0,2.0,2.0,2.0,t
1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,t
1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,-1.0,2.0,2.0,2.0,2.0,t
1.0,2.0,-1.0,1.0,2.0,2.0,1.0,1.0,-1.0,2.0,2.0,2.0,2.0,t
1.0,2.0,-1.0,1.0,2.0,2.0,-1.0,1.0,-1.0,2.0,2.0,2.0,2.0,t
1.0,-1.0,-1.0,1.0,2.0,2.0,-1.0,1.0,-1.0,2.0,2.0,2.0,2.0,t
